3B_time,3B_temp,3B_sulf,3B_anly,3B_yield product
35,119,92,37,0.00335003761426483
35,119,92,37,0.0033681562803880177
35,119,92,37,0.0036022683917377937
56,119,75,82,0.043559898084216106
56,119,75,82,0.04100296391521369
56,119,75,82,0.04235496047662753
202,71,93,44,0.07406524076709438
202,71,93,44,0.07311638156876417
202,71,93,44,0.07663854732561602
261,138,96,90,0.0006609714057067106
261,138,96,90,0.0006649897540776832
261,138,96,90,0.0007651026111616994
277,138,99,46,0.19492772786750387
277,138,99,46,0.19183030899811943
277,138,99,46,0.1905510144333813
295,138,96,64,0.4835138866113083
295,138,96,64,0.4828921966124019
295,138,96,64,0.45453424345282695
313,119,96,58,0.08503912056413188
313,119,96,58,0.08508368219203491
313,119,96,58,0.10435200128016645
429,119,99,35,0.7546155329323405
429,119,99,35,0.7935805313123342
429,119,99,35,0.9184793620972553
476,138,91,56,0.7218166469599739
476,138,91,56,0.7338202568251293
476,138,91,56,0.7446521903210543
501,71,99,34,0.01442009069649645
501,71,99,34,0.01270087422985526
501,71,99,34,0.015196124239528874
503,119,81,48,0.011728554239619406
503,119,81,48,0.008205851241714404
503,119,81,48,0.010336803868367363
523,138,85,75,0.019944446605057575
523,138,85,75,0.02178393802953715
523,138,85,75,0.014067784241250795
551,119,99,91,0.7891791818155802
551,119,99,91,0.6760238883927236
551,119,99,91,0.665297477113058
552,71,75,40,0.9812342280478924
552,71,75,40,0.9900846696249668
552,71,75,40,0.9872252292957739
595,71,99,57,0.9094972729568744
595,71,99,57,0.8781232800882556
595,71,99,57,0.9556852536576802
