X10,Y10
0,0
0.0008333333,0
0.001666667,0
0.0025,0
0.003333333,0
0.004166667,0
0.005,2.831221e-06
0.005833333,3.069639e-06
0.006666667,4.023314e-06
0.0075,4.023314e-06
0.008333333,2.115965e-06
0.009166667,-9.834766e-07
0.01,-4.798174e-06
0.01083333,-7.18236e-06
0.01166667,-7.659197e-06
0.0125,-6.943941e-06
0.01333333,-6.705523e-06
0.01416667,-7.897615e-06
0.015,-9.804964e-06
0.01583333,-1.171231e-05
0.01666667,-1.242757e-05
0.0175,-1.218915e-05
0.01833333,-1.099706e-05
0.01916667,-1.052022e-05
0.02,-1.099706e-05
0.02083333,-1.195073e-05
0.02166667,-1.099706e-05
0.0225,-7.18236e-06
0.02333333,-7.450581e-07
0.02416667,6.645918e-06
0.025,1.28448e-05
0.02583333,1.832843e-05
0.02666667,2.405047e-05
0.0275,2.977252e-05
0.02833333,3.477931e-05
0.02916667,3.692508e-05
0.03,3.668666e-05
0.03083333,3.454089e-05
0.03166667,3.096461e-05
0.0325,2.714992e-05
0.03333333,2.381206e-05
0.03416667,2.071261e-05
0.035,1.856685e-05
0.03583333,1.66595e-05
0.03666667,1.618266e-05
0.0375,1.546741e-05
0.03833333,1.475215e-05
0.03916667,1.427531e-05
0.04,1.332164e-05
0.04083333,1.093745e-05
0.04166667,6.884336e-06
0.0425,2.115965e-06
0.04333333,-1.460314e-06
0.04416667,-2.413988e-06
0.045,-1.937151e-06
0.04583333,-1.698732e-06
0.04666667,-1.937151e-06
0.0475,-1.937151e-06
0.04833333,-1.460314e-06
0.04916667,-1.221895e-06
0.05,-2.17557e-06
0.05083333,-3.367662e-06
0.05166667,-5.036592e-06
0.0525,-6.943941e-06
0.05333333,-8.612871e-06
0.05416667,-8.374453e-06
0.055,-5.51343e-06
0.05583333,-1.937151e-06
0.05666667,-7.450581e-07
0.0575,-2.17557e-06
0.05833333,-5.036592e-06
0.05916667,-7.897615e-06
0.06,-1.052022e-05
0.06083333,-1.195073e-05
0.06166667,-1.099706e-05
0.0625,-9.328127e-06
0.06333333,-8.612871e-06
0.06416667,-9.328127e-06
0.065,-1.052022e-05
0.06583333,-1.02818e-05
0.06666667,-8.612871e-06
0.0675,-7.420778e-06
0.06833333,-8.136034e-06
0.06916667,-1.052022e-05
0.07,-1.361966e-05
0.07083333,-1.600385e-05
0.07166667,-1.695752e-05
0.0725,-1.695752e-05
0.07333333,-1.624227e-05
0.07416667,-1.528859e-05
0.075,-1.433492e-05
0.07583333,-1.433492e-05
0.07666667,-1.385808e-05
0.0775,-1.314282e-05
0.07833333,-1.314282e-05
0.07916667,-1.338124e-05
0.08,-1.40965e-05
0.08083333,-1.40965e-05
0.08166667,-1.338124e-05
0.0825,-1.218915e-05
0.08333333,-1.075864e-05
0.08416667,-9.566545e-06
0.085,-1.02818e-05
0.08583333,-1.242757e-05
0.08666667,-1.552701e-05
0.0875,-1.767278e-05
0.08833333,-1.79112e-05
0.08916667,-1.719594e-05
0.09,-1.481175e-05
0.09083333,-1.195073e-05
0.09166667,-9.328127e-06
0.0925,-9.566545e-06
0.09333333,-1.266599e-05
0.09416667,-1.67191e-05
0.095,-2.005696e-05
0.09583333,-2.124906e-05
0.09666667,-2.077222e-05
0.0975,-1.886487e-05
0.09833333,-1.552701e-05
0.09916667,-1.266599e-05
0.1,-1.099706e-05
0.1008333,-1.147389e-05
0.1016667,-1.290441e-05
0.1025,-1.457334e-05
0.1033333,-1.67191e-05
0.1041667,-1.886487e-05
0.105,-2.05338e-05
0.1058333,-2.101064e-05
0.1066667,-1.981854e-05
0.1075,-1.719594e-05
0.1083333,-1.528859e-05
0.1091667,-1.505017e-05
0.11,-1.648068e-05
0.1108333,-1.695752e-05
0.1116667,-1.600385e-05
0.1125,-1.528859e-05
0.1133333,-1.552701e-05
0.1141667,-1.600385e-05
0.115,-1.528859e-05
0.1158333,-1.314282e-05
0.1166667,-1.075864e-05
0.1175,-6.705523e-06
0.1183333,-5.066395e-07
0.1191667,6.884336e-06
0.12,1.379848e-05
0.1208333,1.952052e-05
0.1216667,2.405047e-05
0.1225,2.643466e-05
0.1233333,2.786517e-05
0.1241667,3.024936e-05
0.125,3.406405e-05
0.1258333,3.668666e-05
0.1266667,3.644824e-05
0.1275,3.406405e-05
0.1283333,3.072619e-05
0.1291667,2.786517e-05
0.13,2.476573e-05
0.1308333,2.261996e-05
0.1316667,2.04742e-05
0.1325,1.832843e-05
0.1333333,1.546741e-05
0.1341667,1.189113e-05
0.135,9.030104e-06
0.1358333,8.553267e-06
0.1366667,2.476573e-05
0.1375,0.0001084507
0.1383333,0.0003893077
0.1391667,0.001096219
0.14,0.00250265
0.1408333,0.004791945
0.1416667,0.007894248
0.1425,0.01142475
0.1433333,0.01478621
0.1441667,0.01739284
0.145,0.01887748
0.1458333,0.01917192
0.1466667,0.01845142
0.1475,0.01702115
0.1483333,0.01520988
0.1491667,0.01330516
0.15,0.01151773
