X24,Y24
0,0
0.0008333333,0
0.001666667,0
0.0025,0
0.003333333,0
0.004166667,0
0.005,3.129244e-07
0.005833333,5.51343e-07
0.006666667,7.897615e-07
0.0075,1.743436e-06
0.008333333,2.935529e-06
0.009166667,4.127622e-06
0.01,3.889203e-06
0.01083333,2.458692e-06
0.01166667,1.02818e-06
0.0125,5.51343e-07
0.01333333,-6.407499e-07
0.01416667,-4.455447e-06
0.015,-9.700656e-06
0.01583333,-1.375377e-05
0.01666667,-1.399219e-05
0.0175,-1.136959e-05
0.01833333,-7.554889e-06
0.01916667,-3.501773e-06
0.02,-1.639128e-07
0.02083333,1.743436e-06
0.02166667,1.743436e-06
0.0225,1.743436e-06
0.02333333,3.412366e-06
0.02416667,7.227063e-06
0.025,1.175702e-05
0.02583333,1.604855e-05
0.02666667,1.914799e-05
0.0275,2.153218e-05
0.02833333,2.272427e-05
0.02916667,2.272427e-05
0.03,2.105534e-05
0.03083333,1.867115e-05
0.03166667,1.604855e-05
0.0325,1.41412e-05
0.03333333,1.342595e-05
0.03416667,1.318753e-05
0.035,1.271069e-05
0.03583333,1.080334e-05
0.03666667,8.895993e-06
0.0375,7.942319e-06
0.03833333,8.419156e-06
0.03916667,8.419156e-06
0.04,6.273389e-06
0.04083333,3.412366e-06
0.04166667,1.266599e-06
0.0425,1.266599e-06
0.04333333,1.505017e-06
0.04416667,1.743436e-06
0.045,2.220273e-06
0.04583333,1.981854e-06
0.04666667,1.505017e-06
0.0475,-1.639128e-07
0.04833333,-8.791685e-07
0.04916667,-1.594424e-06
0.05,-2.071261e-06
0.05083333,-2.548099e-06
0.05166667,-2.786517e-06
0.0525,-2.071261e-06
0.05333333,-1.639128e-07
0.05416667,1.743436e-06
0.055,2.935529e-06
0.05583333,2.935529e-06
0.05666667,1.743436e-06
0.0575,-1.117587e-06
0.05833333,-3.501773e-06
0.05916667,-4.932284e-06
0.06,-6.124377e-06
0.06083333,-7.31647e-06
0.06166667,-9.223819e-06
0.0625,-1.1608e-05
0.06333333,-1.423061e-05
0.06416667,-1.494586e-05
0.065,-1.375377e-05
0.06583333,-1.184642e-05
0.06666667,-1.184642e-05
0.0675,-1.423061e-05
0.06833333,-1.733005e-05
0.06916667,-1.995265e-05
0.07,-2.114475e-05
0.07083333,-2.114475e-05
0.07166667,-2.066791e-05
0.0725,-1.899898e-05
0.07333333,-1.780689e-05
0.07416667,-1.733005e-05
0.075,-1.780689e-05
0.07583333,-1.876056e-05
0.07666667,-1.995265e-05
0.0775,-2.114475e-05
0.07833333,-2.090633e-05
0.07916667,-1.876056e-05
0.08,-1.566112e-05
0.08083333,-1.399219e-05
0.08166667,-1.518428e-05
0.0825,-1.780689e-05
0.08333333,-2.042949e-05
0.08416667,-2.090633e-05
0.085,-2.066791e-05
0.08583333,-2.019107e-05
0.08666667,-1.971424e-05
0.0875,-1.92374e-05
0.08833333,-1.804531e-05
0.08916667,-1.804531e-05
0.09,-1.733005e-05
0.09083333,-1.661479e-05
0.09166667,-1.589954e-05
0.0925,-1.637638e-05
0.09333333,-1.733005e-05
0.09416667,-1.804531e-05
0.095,-1.804531e-05
0.09583333,-1.661479e-05
0.09666667,-1.470745e-05
0.0975,-1.327693e-05
0.09833333,-1.303852e-05
0.09916667,-1.303852e-05
0.1,-1.446903e-05
0.1008333,-1.661479e-05
0.1016667,-1.852214e-05
0.1025,-1.971424e-05
0.1033333,-1.92374e-05
0.1041667,-1.733005e-05
0.105,-1.566112e-05
0.1058333,-1.589954e-05
0.1066667,-1.804531e-05
0.1075,-1.995265e-05
0.1083333,-1.995265e-05
0.1091667,-1.92374e-05
0.11,-1.92374e-05
0.1108333,-1.899898e-05
0.1116667,-1.804531e-05
0.1125,-1.756847e-05
0.1133333,-1.828372e-05
0.1141667,-1.899898e-05
0.115,-1.780689e-05
0.1158333,-1.423061e-05
0.1166667,-9.462237e-06
0.1175,-4.455447e-06
0.1183333,7.897615e-07
0.1191667,5.558133e-06
0.12,1.03265e-05
0.1208333,1.604855e-05
0.1216667,2.296269e-05
0.1225,2.987683e-05
0.1233333,3.536046e-05
0.1241667,3.893673e-05
0.125,4.084408e-05
0.1258333,4.132092e-05
0.1266667,4.036725e-05
0.1275,3.84599e-05
0.1283333,3.655255e-05
0.1291667,3.536046e-05
0.13,3.321469e-05
0.1308333,3.035367e-05
0.1316667,2.606213e-05
0.1325,2.224743e-05
0.1333333,2.010167e-05
0.1341667,1.914799e-05
0.135,1.914799e-05
0.1358333,2.510846e-05
0.1366667,6.993115e-05
0.1375,0.0002573282
0.1383333,0.000806883
0.1391667,0.00204809
0.14,0.00430353
0.1408333,0.007690266
0.1416667,0.01195057
0.1425,0.0164593
0.1433333,0.0204304
0.1441667,0.02321179
0.145,0.02450092
0.1458333,0.02447803
0.1466667,0.02418764
0.1475,0.02651532
0.1483333,0.03751238
0.1491667,0.06653579
0.15,0.1232994
0.1508333,0.2126807
