X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.045,-2776,0.045,-6430,0.045,32377,0.045,14375,0.045,12678,0.045,11401,0.045,22400,0.045,9561,0.045,-5559,0.045,2343,0.045,-6331,0.045,1819,0.045,505,0.045,3265,0.045,5979,0.045,-1674
0.047,-2852,0.047,-6225,0.047,36475,0.047,21150,0.047,18441,0.047,18448,0.047,29127,0.047,16775,0.047,-5413,0.047,2685,0.047,-5551,0.047,6104,0.047,5514,0.047,8905,0.047,11142,0.047,2051
0.048,-2528,0.048,-5073,0.048,37810,0.048,27485,0.048,24422,0.048,25470,0.048,33777,0.048,24131,0.048,-5242,0.048,3349,0.048,-3698,0.048,12001,0.048,12128,0.048,15495,0.048,17468,0.048,7062
0.05,-1851,0.05,-2656,0.05,35445,0.05,32110,0.05,29838,0.05,31567,0.05,35241,0.05,30296,0.05,-4320,0.05,5052,0.05,-587,0.05,19080,0.05,19791,0.05,21404,0.05,24215,0.05,13087
0.052,-861,0.052,1278,0.052,29302,0.052,33718,0.052,32921,0.052,35300,0.052,32406,0.052,33836,0.052,-2477,0.052,7777,0.052,3928,0.052,26461,0.052,27330,0.052,25623,0.052,30441,0.052,19370
0.053,1252,0.053,6737,0.053,20364,0.053,31798,0.053,33181,0.053,35405,0.053,25902,0.053,33764,0.053,627,0.053,12248,0.053,9492,0.053,32888,0.053,33275,0.053,27276,0.053,34548,0.053,24408
0.055,4931,0.055,13040,0.055,9973,0.055,26820,0.055,29397,0.055,31427,0.055,16827,0.055,29658,0.055,5450,0.055,18022,0.055,15158,0.055,36724,0.055,36192,0.055,25299,0.055,35867,0.055,26999
0.057,9963,0.057,19112,0.057,45,0.057,19389,0.057,22034,0.057,24137,0.057,6535,0.057,22075,0.057,11831,0.057,24373,0.057,19779,0.057,36989,0.057,35165,0.057,19975,0.057,33707,0.057,26529
0.058,16223,0.058,23834,0.058,-8152,0.058,10785,0.058,11938,0.058,14391,0.058,-3424,0.058,12318,0.058,18855,0.058,29907,0.058,22195,0.058,33232,0.058,30018,0.058,12381,0.058,28284,0.058,22315
0.06,23689,0.06,25961,0.06,-13782,0.06,2680,0.06,1331,0.06,3961,0.06,-11220,0.06,1948,0.06,25277,0.06,33642,0.06,21249,0.06,25827,0.06,21642,0.06,3697,0.06,20352,0.06,15248
