X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.843,390134,0.843,380035,0.843,386728,0.843,398175,0.843,599047,0.843,461988,0.843,445095,0.843,355616,0.843,566903,0.843,449957,0.843,468762,0.843,491689,0.843,452537,0.843,349377,0.843,358229,0.843,353748
0.845,391572,0.845,381468,0.845,388446,0.845,400271,0.845,602307,0.845,464500,0.845,446990,0.845,356991,0.845,566899,0.845,450982,0.845,469153,0.845,492563,0.845,453572,0.845,350482,0.845,359540,0.845,355054
0.847,393153,0.847,382739,0.847,390178,0.847,402196,0.847,605462,0.847,466739,0.847,448941,0.847,358334,0.847,566911,0.847,451744,0.847,469576,0.847,493337,0.847,454352,0.847,351287,0.847,360413,0.847,356306
0.848,394649,0.848,383945,0.848,391948,0.848,404068,0.848,608510,0.848,468821,0.848,450911,0.848,359574,0.848,566815,0.848,452372,0.848,470027,0.848,493856,0.848,454956,0.848,352077,0.848,361196,0.848,357640
0.85,395800,0.85,385399,0.85,393737,0.85,405799,0.85,611395,0.85,470922,0.85,452596,0.85,360836,0.85,566591,0.85,453069,0.85,470489,0.85,494083,0.85,455223,0.85,352847,0.85,362040,0.85,358620
0.852,397000,0.852,386495,0.852,395363,0.852,407429,0.852,614246,0.852,473179,0.852,453999,0.852,361740,0.852,566256,0.852,453817,0.852,470812,0.852,494349,0.852,455186,0.852,353286,0.852,362513,0.852,359334
0.853,397829,0.853,388005,0.853,396574,0.853,408921,0.853,616797,0.853,475437,0.853,455180,0.853,362348,0.853,566041,0.853,454448,0.853,470849,0.853,494471,0.853,455268,0.853,353569,0.853,363073,0.853,359713
0.855,398268,0.855,389553,0.855,397878,0.855,410330,0.855,619547,0.855,477545,0.855,456209,0.855,362599,0.855,565478,0.855,455273,0.855,470882,0.855,494543,0.855,455275,0.855,353725,0.855,363905,0.855,359805
0.857,398778,0.857,390744,0.857,398916,0.857,411811,0.857,622523,0.857,479666,0.857,457180,0.857,362651,0.857,564736,0.857,455901,0.857,470687,0.857,494434,0.857,455293,0.857,353980,0.857,364511,0.857,359482
0.858,399195,0.858,391654,0.858,399624,0.858,413350,0.858,625482,0.858,481659,0.858,458161,0.858,362708,0.858,564030,0.858,456354,0.858,470257,0.858,494343,0.858,455250,0.858,353974,0.858,364847,0.858,359234
0.86,399397,0.86,392629,0.86,400331,0.86,414581,0.86,628062,0.86,483325,0.86,459232,0.86,362784,0.86,563249,0.86,456320,0.86,469752,0.86,493994,0.86,455130,0.86,354051,0.86,365263,0.86,358898
0.862,399525,0.862,393222,0.862,401073,0.862,415686,0.862,630736,0.862,484935,0.862,460187,0.862,362846,0.862,562336,0.862,456175,0.862,469184,0.862,493537,0.862,454739,0.862,354073,0.862,365545,0.862,358642
0.863,399679,0.863,393483,0.863,401593,0.863,416771,0.863,633246,0.863,486509,0.863,461077,0.863,362940,0.863,561638,0.863,455729,0.863,468384,0.863,493118,0.863,454273,0.863,354074,0.863,365463,0.863,358606
0.865,399723,0.865,393914,0.865,402196,0.865,417628,0.865,635420,0.865,487988,0.865,461686,0.865,363228,0.865,560973,0.865,455370,0.865,467589,0.865,492574,0.865,453639,0.865,353778,0.865,365115,0.865,358605
0.867,399569,0.867,394376,0.867,402848,0.867,418121,0.867,637682,0.867,489646,0.867,462338,0.867,362998,0.867,560186,0.867,454797,0.867,466773,0.867,491878,0.867,452882,0.867,353564,0.867,364857,0.867,358512
0.868,399239,0.868,394703,0.868,403390,0.868,418590,0.868,640122,0.868,491412,0.868,463036,0.868,362695,0.868,559203,0.868,454314,0.868,465919,0.868,491136,0.868,452122,0.868,353347,0.868,364671,0.868,358375
0.87,398923,0.87,395197,0.87,403868,0.87,418943,0.87,642525,0.87,493209,0.87,463799,0.87,362423,0.87,558268,0.87,453850,0.87,465008,0.87,490215,0.87,451594,0.87,353040,0.87,364368,0.87,358118
0.872,398493,0.872,395636,0.872,404180,0.872,419253,0.872,644835,0.872,495156,0.872,464577,0.872,362079,0.872,557101,0.872,453202,0.872,464042,0.872,489045,0.872,451035,0.872,352532,0.872,364058,0.872,357660
0.873,398059,0.873,395967,0.873,404353,0.873,419539,0.873,647131,0.873,497066,0.873,465623,0.873,361309,0.873,555979,0.873,452244,0.873,463119,0.873,488021,0.873,450561,0.873,352193,0.873,364037,0.873,357316
0.875,397899,0.875,396182,0.875,404609,0.875,420038,0.875,649268,0.875,498742,0.875,466793,0.875,360762,0.875,554883,0.875,451407,0.875,462272,0.875,486990,0.875,450148,0.875,351762,0.875,363781,0.875,356996
0.877,397733,0.877,396379,0.877,404977,0.877,420756,0.877,651481,0.877,500290,0.877,467783,0.877,360264,0.877,553854,0.877,450583,0.877,461268,0.877,486126,0.877,449601,0.877,351318,0.877,363280,0.877,356792
0.878,397480,0.878,396442,0.878,405635,0.878,421573,0.878,653777,0.878,501692,0.878,469017,0.878,359774,0.878,552729,0.878,449456,0.878,460418,0.878,485506,0.878,448934,0.878,350945,0.878,362760,0.878,356714
0.88,397255,0.88,396873,0.88,406389,0.88,422412,0.88,656004,0.88,502778,0.88,470486,0.88,359376,0.88,551667,0.88,448582,0.88,459631,0.88,485204,0.88,448300,0.88,350844,0.88,362348,0.88,356638
0.882,396794,0.882,397402,0.882,407361,0.882,423216,0.882,658537,0.882,503926,0.882,471909,0.882,359345,0.882,550457,0.882,447840,0.882,458704,0.882,484872,0.882,447613,0.882,350538,0.882,361860,0.882,356630
0.883,396343,0.883,398189,0.883,408191,0.883,423994,0.883,661209,0.883,505177,0.883,473094,0.883,359409,0.883,549251,0.883,446883,0.883,457685,0.883,484407,0.883,447049,0.883,350245,0.883,361434,0.883,356526
0.885,396008,0.885,398967,0.885,408906,0.885,424728,0.885,663843,0.885,506501,0.885,474596,0.885,359405,0.885,548290,0.885,445979,0.885,456810,0.885,483869,0.885,446694,0.885,349973,0.885,361050,0.885,356100
0.887,395564,0.887,399731,0.887,409413,0.887,425247,0.887,666607,0.887,508049,0.887,475749,0.887,359358,0.887,547478,0.887,445225,0.887,455904,0.887,483267,0.887,446381,0.887,349668,0.887,360673,0.887,355594
0.888,394997,0.888,400331,0.888,410031,0.888,425682,0.888,669534,0.888,509922,0.888,476689,0.888,359118,0.888,546590,0.888,444330,0.888,455046,0.888,482356,0.888,446198,0.888,349365,0.888,360292,0.888,355174
0.89,394443,0.89,400945,0.89,410452,0.89,426223,0.89,672343,0.89,511737,0.89,477522,0.89,358653,0.89,545718,0.89,443547,0.89,454210,0.89,481532,0.89,445963,0.89,349360,0.89,359803,0.89,354486
0.892,393525,0.892,401328,0.892,411078,0.892,426702,0.892,674967,0.892,513725,0.892,478620,0.892,358064,0.892,544773,0.892,442931,0.892,453432,0.892,480693,0.892,445668,0.892,349525,0.892,359267,0.892,353911
0.893,392596,0.893,401731,0.893,411567,0.893,427063,0.893,677774,0.893,515795,0.893,479554,0.893,357613,0.893,543576,0.893,442289,0.893,452839,0.893,479579,0.893,444952,0.893,349520,0.893,358782,0.893,353663
0.895,392024,0.895,402312,0.895,412052,0.895,427761,0.895,680380,0.895,517692,0.895,480732,0.895,356849,0.895,542145,0.895,441545,0.895,452099,0.895,478316,0.895,444400,0.895,349620,0.895,358411,0.895,353449
0.897,391515,0.897,402790,0.897,412261,0.897,428581,0.897,682902,0.897,519539,0.897,481949,0.897,356306,0.897,540895,0.897,440808,0.897,451283,0.897,477226,0.897,443683,0.897,349611,0.897,357927,0.897,353351
0.898,391065,0.898,403066,0.898,412577,0.898,429372,0.898,685453,0.898,521386,0.898,483340,0.898,355776,0.898,539847,0.898,439983,0.898,450743,0.898,475987,0.898,443122,0.898,349405,0.898,357545,0.898,353402
0.9,390884,0.9,403311,0.9,412721,0.9,430122,0.9,688393,0.9,522943,0.9,484712,0.9,355346,0.9,539001,0.9,439373,0.9,450426,0.9,475014,0.9,442469,0.9,348923,0.9,357116,0.9,353419
0.902,390434,0.902,403615,0.902,412968,0.902,430871,0.902,691225,0.902,524717,0.902,485962,0.902,354732,0.902,538449,0.902,438598,0.902,449872,0.902,474385,0.902,442302,0.902,348584,0.902,356697,0.902,353239
0.903,389681,0.903,403670,0.903,413425,0.903,431247,0.903,694275,0.903,526560,0.903,487106,0.903,354726,0.903,538171,0.903,438000,0.903,449554,0.903,473897,0.903,441949,0.903,348128,0.903,356054,0.903,353030
0.905,388785,0.905,403835,0.905,414091,0.905,431483,0.905,697634,0.905,528476,0.905,488577,0.905,354640,0.905,538172,0.905,437484,0.905,449549,0.905,473327,0.905,441746,0.905,347500,0.905,355450,0.905,352444
0.907,388060,0.907,404256,0.907,414786,0.907,431731,0.907,701164,0.907,530739,0.907,490047,0.907,354639,0.907,538124,0.907,437057,0.907,449460,0.907,473139,0.907,441441,0.907,346945,0.907,354869,0.907,351741
0.908,386992,0.908,404803,0.908,415697,0.908,432085,0.908,704623,0.908,533504,0.908,491614,0.908,354540,0.908,538265,0.908,436158,0.908,449210,0.908,473064,0.908,441510,0.908,346607,0.908,354356,0.908,351093
0.91,386206,0.91,405300,0.91,416732,0.91,432468,0.91,708153,0.91,536176,0.91,493704,0.91,354419,0.91,538284,0.91,435695,0.91,449249,0.91,473014,0.91,441549,0.91,346269,0.91,353801,0.91,350424
0.912,385356,0.912,405881,0.912,417576,0.912,433065,0.912,712006,0.912,539090,0.912,496005,0.912,353749,0.912,538515,0.912,435403,0.912,449447,0.912,473329,0.912,441746,0.912,345891,0.912,353291,0.912,349678
0.913,384822,0.913,406471,0.913,418428,0.913,433886,0.913,716191,0.913,542318,0.913,498300,0.913,353346,0.913,538625,0.913,435140,0.913,449545,0.913,473965,0.913,442029,0.913,345829,0.913,352678,0.913,349222
0.915,384013,0.915,407031,0.915,419360,0.915,434654,0.915,720511,0.915,545580,0.915,500746,0.915,352877,0.915,539290,0.915,435000,0.915,449887,0.915,474492,0.915,442698,0.915,345891,0.915,351970,0.915,348960
0.917,383662,0.917,407779,0.917,420116,0.917,435461,0.917,725166,0.917,548828,0.917,503171,0.917,352529,0.917,539988,0.917,435284,0.917,450665,0.917,475258,0.917,443257,0.917,345991,0.917,351330,0.917,348751
0.918,383411,0.918,408645,0.918,420930,0.918,436404,0.918,730268,0.918,552301,0.918,505500,0.918,352537,0.918,541287,0.918,435330,0.918,451588,0.918,476315,0.918,444045,0.918,346018,0.918,350708,0.918,348831
0.92,383433,0.92,409678,0.92,422132,0.92,437479,0.92,735481,0.92,556087,0.92,508070,0.92,352824,0.92,542812,0.92,435328,0.92,452688,0.92,477321,0.92,444959,0.92,346173,0.92,350331,0.92,349206
0.922,383421,0.922,410855,0.922,423526,0.922,438606,0.922,740741,0.922,559620,0.922,510643,0.922,352814,0.922,544688,0.922,435494,0.922,453966,0.922,478396,0.922,446202,0.922,346174,0.922,350124,0.922,349544
0.923,383809,0.923,412289,0.923,425017,0.923,439948,0.923,746385,0.923,563280,0.923,513445,0.923,352873,0.923,546391,0.923,435483,0.923,455028,0.923,479699,0.923,447272,0.923,346148,0.923,350269,0.923,349783
0.925,384131,0.925,413552,0.925,426824,0.925,441445,0.925,752260,0.925,567053,0.925,516659,0.925,352948,0.925,548280,0.925,435542,0.925,455878,0.925,480992,0.925,448641,0.925,346150,0.925,350557,0.925,350091
0.927,384585,0.927,415055,0.927,428920,0.927,443265,0.927,758445,0.927,570978,0.927,520115,0.927,352925,0.927,549853,0.927,435817,0.927,456774,0.927,482200,0.927,450034,0.927,346493,0.927,351127,0.927,350280
0.928,385070,0.928,416637,0.928,430906,0.928,445188,0.928,764658,0.928,574721,0.928,523637,0.928,353202,0.928,551203,0.928,436094,0.928,457541,0.928,483570,0.928,451548,0.928,346884,0.928,351865,0.928,350463
0.93,385766,0.93,418430,0.93,432617,0.93,447233,0.93,770674,0.93,578946,0.93,527145,0.93,353903,0.93,552466,0.93,436254,0.93,458468,0.93,485135,0.93,452849,0.93,347488,0.93,352872,0.93,350896
0.932,386428,0.932,420053,0.932,434507,0.932,449416,0.932,776751,0.932,583255,0.932,530749,0.932,355012,0.932,553836,0.932,436605,0.932,459596,0.932,486724,0.932,454410,0.932,348021,0.932,353771,0.932,351703
0.933,387298,0.933,421868,0.933,436388,0.933,451495,0.933,782568,0.933,587866,0.933,534134,0.933,356458,0.933,555029,0.933,437059,0.933,460925,0.933,488245,0.933,455893,0.933,348613,0.933,354717,0.933,352602
0.935,388117,0.935,423556,0.935,438075,0.935,453287,0.935,788196,0.935,592475,0.935,537475,0.935,358034,0.935,556216,0.935,437390,0.935,462206,0.935,489815,0.935,457236,0.935,349011,0.935,355734,0.935,353711
0.937,389164,0.937,425306,0.937,439707,0.937,455323,0.937,794041,0.937,597368,0.937,540988,0.937,359561,0.937,557418,0.937,437940,0.937,463471,0.937,491179,0.937,458763,0.937,349525,0.937,356709,0.937,355001
0.938,390173,0.938,426917,0.938,442006,0.938,457557,0.938,800309,0.938,602338,0.938,545005,0.938,361030,0.938,558226,0.938,438609,0.938,464626,0.938,492359,0.938,460584,0.938,350063,0.938,357884,0.938,356281
0.94,391494,0.94,428615,0.94,444264,0.94,459655,0.94,806627,0.94,607569,0.94,548994,0.94,362345,0.94,558659,0.94,439384,0.94,465869,0.94,493517,0.94,462375,0.94,350822,0.94,359285,0.94,357442
0.942,392680,0.942,430537,0.942,446607,0.942,462178,0.942,813439,0.942,612706,0.942,553141,0.942,363571,0.942,559079,0.942,440129,0.942,467053,0.942,494957,0.942,464075,0.942,351503,0.942,360906,0.942,358808
0.943,394018,0.943,432871,0.943,449153,0.943,465207,0.943,820497,0.943,618136,0.943,557458,0.943,364781,0.943,559294,0.943,441102,0.943,468294,0.943,496458,0.943,465987,0.943,352232,0.943,362550,0.943,360167
0.945,395247,0.945,435333,0.945,452023,0.945,468226,0.945,827721,0.945,623887,0.945,561679,0.945,366046,0.945,559592,0.945,441941,0.945,469604,0.945,498174,0.945,467668,0.945,352790,0.945,364128,0.945,361449
0.947,396567,0.947,438081,0.947,454573,0.947,471193,0.947,835210,0.947,629690,0.947,565683,0.947,367211,0.947,560120,0.947,442885,0.947,470882,0.947,500041,0.947,469076,0.947,353351,0.947,365612,0.947,362811
0.948,397457,0.948,440943,0.948,457441,0.948,474536,0.948,842826,0.948,635476,0.948,569896,0.948,368440,0.948,560801,0.948,443972,0.948,472142,0.948,501849,0.948,470465,0.948,353786,0.948,366881,0.948,364126
0.95,398625,0.95,443589,0.95,460270,0.95,477845,0.95,850348,0.95,641618,0.95,574345,0.95,369650,0.95,561420,0.95,444912,0.95,473297,0.95,503386,0.95,471977,0.95,354541,0.95,368131,0.95,365246
0.952,399767,0.952,445908,0.952,463186,0.952,481079,0.952,858029,0.952,647885,0.952,578729,0.952,371028,0.952,562164,0.952,445842,0.952,474368,0.952,505013,0.952,473236,0.952,355384,0.952,369296,0.952,366289
0.953,401062,0.953,448188,0.953,466193,0.953,484316,0.953,865670,0.953,653989,0.953,583332,0.953,372387,0.953,562531,0.953,446694,0.953,475379,0.953,506333,0.953,474530,0.953,356454,0.953,370632,0.953,367446
0.955,402187,0.955,450317,0.955,469363,0.955,487613,0.955,873200,0.955,660287,0.955,588169,0.955,374034,0.955,562645,0.955,447379,0.955,476366,0.955,507274,0.955,475799,0.955,357596,0.955,371755,0.955,368544
0.957,403770,0.957,452517,0.957,472347,0.957,490981,0.957,881020,0.957,666776,0.957,592960,0.957,375482,0.957,562376,0.957,447688,0.957,477030,0.957,508120,0.957,476937,0.957,358827,0.957,373032,0.957,369767
0.958,405045,0.958,454932,0.958,475612,0.958,494473,0.958,889181,0.958,673217,0.958,597647,0.958,376844,0.958,561702,0.958,448168,0.958,477519,0.958,508711,0.958,477787,0.958,359628,0.958,374034,0.958,370983
0.96,406356,0.96,457495,0.96,478747,0.96,497753,0.96,897338,0.96,679693,0.96,602537,0.96,378174,0.96,560517,0.96,448305,0.96,477776,0.96,508806,0.96,478693,0.96,360423,0.96,374872,0.96,372266
0.962,407450,0.962,459928,0.962,481782,0.962,500883,0.962,905550,0.962,686149,0.962,607210,0.962,379560,0.962,558962,0.962,448389,0.962,477777,0.962,508789,0.962,479034,0.962,360963,0.962,375568,0.962,373305
0.963,408722,0.963,462449,0.963,484775,0.963,504034,0.963,913941,0.963,692638,0.963,611757,0.963,380517,0.963,557030,0.963,448350,0.963,477538,0.963,508740,0.963,479225,0.963,361329,0.963,376300,0.963,374291
0.965,409731,0.965,464837,0.965,487831,0.965,506939,0.965,922086,0.965,699258,0.965,616346,0.965,381619,0.965,554975,0.965,448309,0.965,477293,0.965,508272,0.965,479067,0.965,361642,0.965,376924,0.965,375136
0.967,410653,0.967,467237,0.967,490728,0.967,509568,0.967,929878,0.967,706073,0.967,620983,0.967,382738,0.967,552706,0.967,447771,0.967,477087,0.967,507486,0.967,478513,0.967,362054,0.967,377763,0.967,375870
0.968,411409,0.968,469499,0.968,493795,0.968,512431,0.968,937690,0.968,712924,0.968,625647,0.968,383519,0.968,550369,0.968,447289,0.968,476853,0.968,506469,0.968,477564,0.968,362269,0.968,378742,0.968,376455
0.97,412108,0.97,471939,0.97,496863,0.97,515634,0.97,945384,0.97,720445,0.97,630432,0.97,383788,0.97,547819,0.97,446733,0.97,476649,0.97,505140,0.97,476776,0.97,362588,0.97,379553,0.97,377052
0.972,412549,0.972,474186,0.972,499698,0.972,518881,0.972,952843,0.972,728143,0.972,635261,0.972,384217,0.972,545254,0.972,446113,0.972,476188,0.972,503524,0.972,475637,0.972,362833,0.972,380045,0.972,377458
0.973,412737,0.973,476467,0.973,502403,0.973,522485,0.973,960241,0.973,735763,0.973,640222,0.973,384368,0.973,542306,0.973,445331,0.973,475636,0.973,502001,0.973,474528,0.973,362938,0.973,380558,0.973,377674
0.975,413017,0.975,478617,0.975,505098,0.975,526124,0.975,967834,0.975,743314,0.975,645153,0.975,384252,0.975,539217,0.975,444542,0.975,474865,0.975,500634,0.975,473460,0.975,363072,0.975,380530,0.975,377851
0.977,413049,0.977,480893,0.977,507640,0.977,529638,0.977,975354,0.977,750985,0.977,650089,0.977,384069,0.977,536046,0.977,443580,0.977,474001,0.977,499243,0.977,472525,0.977,363138,0.977,380319,0.977,377969
0.978,412884,0.978,483135,0.978,510181,0.978,532871,0.978,983112,0.978,758207,0.978,655148,0.978,384162,0.978,533011,0.978,442544,0.978,472905,0.978,497908,0.978,471430,0.978,363054,0.978,380113,0.978,377844
0.98,412617,0.98,485493,0.98,513052,0.98,536155,0.98,991154,0.98,765460,0.98,660319,0.98,384099,0.98,529771,0.98,441271,0.98,472032,0.98,496745,0.98,470544,0.98,362837,0.98,380251,0.98,377782
0.982,412390,0.982,487877,0.982,515815,0.982,538998,0.982,999458,0.982,773022,0.982,665526,0.982,383793,0.982,526691,0.982,440029,0.982,471195,0.982,495442,0.982,469486,0.982,362608,0.982,380179,0.982,377751
0.983,411826,0.983,490141,0.983,518501,0.983,542009,0.983,1007869,0.983,780800,0.983,670889,0.983,383546,0.983,523604,0.983,438778,0.983,470501,0.983,493981,0.983,468370,0.983,362191,0.983,380322,0.983,377364
0.985,411398,0.985,492353,0.985,520989,0.985,545121,0.985,1016536,0.985,788612,0.985,676250,0.985,383383,0.985,520497,0.985,437635,0.985,469833,0.985,492623,0.985,467208,0.985,361809,0.985,380330,0.985,376836
0.987,411011,0.987,494199,0.987,523473,0.987,548355,0.987,1025444,0.987,796660,0.987,681692,0.987,383082,0.987,517541,0.987,436141,0.987,469347,0.987,491332,0.987,465937,0.987,361349,0.987,380263,0.987,376250
0.988,410504,0.988,495856,0.988,525578,0.988,551237,0.988,1034368,0.988,804622,0.988,687137,0.988,382601,0.988,514877,0.988,434861,0.988,468946,0.988,489772,0.988,464546,0.988,360837,0.988,379788,0.988,375193
0.99,409877,0.99,497288,0.99,527839,0.99,554223,0.99,1043603,0.99,812453,0.99,692720,0.99,382360,0.99,512430,0.99,433469,0.99,468395,0.99,488252,0.99,463229,0.99,360223,0.99,379077,0.99,373938
0.992,409247,0.992,498749,0.992,530124,0.992,556959,0.992,1053030,0.992,820225,0.992,698098,0.992,381876,0.992,510266,0.992,432000,0.992,467426,0.992,486725,0.992,461877,0.992,359429,0.992,378235,0.992,372896
0.993,408386,0.993,499899,0.993,532615,0.993,559480,0.993,1062723,0.993,828103,0.993,703548,0.993,381015,0.993,508290,0.993,430207,0.993,466388,0.993,485160,0.993,460363,0.993,358318,0.993,377178,0.993,371688
0.995,407339,0.995,501255,0.995,535046,0.995,561830,0.995,1072549,0.995,836108,0.995,709012,0.995,379937,0.995,506172,0.995,428508,0.995,464910,0.995,483326,0.995,458841,0.995,357021,0.995,375856,0.995,370454
0.997,406237,0.997,502601,0.997,537655,0.997,564505,0.997,1082681,0.997,844319,0.997,714725,0.997,378879,0.997,503970,0.997,426561,0.997,462890,0.997,481597,0.997,457193,0.997,355811,0.997,374381,0.997,369339
0.998,404914,0.998,503965,0.998,540147,0.998,567159,0.998,1092876,0.998,852650,0.998,720240,0.998,377454,0.998,501694,0.998,424586,0.998,460656,0.998,479955,0.998,455290,0.998,354304,0.998,372630,0.998,368135
1.0,403430,1.0,505323,1.0,542513,1.0,569835,1.0,1103404,1.0,861014,1.0,726170,1.0,375983,1.0,499291,1.0,422478,1.0,458562,1.0,478183,1.0,453332,1.0,352778,1.0,370560,1.0,366729
1.002,401800,1.002,506885,1.002,544728,1.002,572675,1.002,1113758,1.002,869533,1.002,732343,1.002,374602,1.002,496779,1.002,420545,1.002,456017,1.002,476183,1.002,451229,1.002,351302,1.002,368294,1.002,365248
1.003,400004,1.003,508428,1.003,546905,1.003,575682,1.003,1124313,1.003,878077,1.003,738821,1.003,372947,1.003,494356,1.003,418552,1.003,453486,1.003,474234,1.003,448944,1.003,349988,1.003,365920,1.003,363676
1.005,398196,1.005,510078,1.005,549133,1.005,578516,1.005,1135093,1.005,886657,1.005,745154,1.005,371144,1.005,491864,1.005,416487,1.005,451077,1.005,472179,1.005,446493,1.005,348344,1.005,363365,1.005,362146
1.007,396577,1.007,511921,1.007,551395,1.007,581631,1.007,1145990,1.007,895443,1.007,751926,1.007,369294,1.007,489414,1.007,414171,1.007,448563,1.007,469800,1.007,444173,1.007,346990,1.007,360997,1.007,360631
1.008,394982,1.008,513855,1.008,553946,1.008,585041,1.008,1156907,1.008,904668,1.008,758868,1.008,367183,1.008,486992,1.008,412019,1.008,445844,1.008,467306,1.008,441571,1.008,345623,1.008,358696,1.008,358961
1.01,393563,1.01,515796,1.01,556778,1.01,588598,1.01,1168325,1.01,913948,1.01,766026,1.01,364769,1.01,484515,1.01,409631,1.01,443367,1.01,464828,1.01,438921,1.01,344393,1.01,356409,1.01,357254
1.012,392287,1.012,517856,1.012,559680,1.012,592237,1.012,1179941,1.012,923570,1.012,773092,1.012,362534,1.012,482012,1.012,407204,1.012,440980,1.012,462213,1.012,436281,1.012,343022,1.012,354150,1.012,355524
1.013,390946,1.013,519918,1.013,562754,1.013,596003,1.013,1191727,1.013,933453,1.013,780764,1.013,360058,1.013,479820,1.013,404946,1.013,438502,1.013,459481,1.013,433817,1.013,341580,1.013,351991,1.013,353493
1.015,389497,1.015,521770,1.015,566079,1.015,599911,1.015,1203718,1.015,943564,1.015,788499,1.015,357539,1.015,477424,1.015,402978,1.015,436109,1.015,456607,1.015,430992,1.015,340238,1.015,349684,1.015,351323
1.017,388042,1.017,523663,1.017,569314,1.017,603749,1.017,1215949,1.017,953864,1.017,796504,1.017,355125,1.017,474994,1.017,400991,1.017,433660,1.017,453840,1.017,428462,1.017,338959,1.017,347285,1.017,349201
1.018,386407,1.018,525557,1.018,572510,1.018,607643,1.018,1228560,1.018,964597,1.018,804501,1.018,352850,1.018,472827,1.018,399122,1.018,431207,1.018,450953,1.018,425707,1.018,337678,1.018,345017,1.018,347078
1.02,384699,1.02,527582,1.02,575864,1.02,611747,1.02,1241332,1.02,975517,1.02,812986,1.02,350545,1.02,470643,1.02,397419,1.02,428869,1.02,448264,1.02,422962,1.02,336445,1.02,342686,1.02,344679
1.022,383063,1.022,529783,1.022,579292,1.022,616046,1.022,1254315,1.022,986768,1.022,821506,1.022,348506,1.022,468177,1.022,395498,1.022,426755,1.022,445687,1.022,419963,1.022,335496,1.022,340441,1.022,342403
1.023,381428,1.023,532218,1.023,582707,1.023,620268,1.023,1267596,1.023,998283,1.023,830243,1.023,346493,1.023,466047,1.023,393408,1.023,424797,1.023,443455,1.023,417313,1.023,334174,1.023,338243,1.023,340017
1.025,380000,1.025,534732,1.025,586126,1.025,624649,1.025,1281001,1.025,1009882,1.025,839074,1.025,344702,1.025,463992,1.025,391206,1.025,423083,1.025,441388,1.025,414400,1.025,332723,1.025,336148,1.025,337641
1.027,378856,1.027,537526,1.027,589863,1.027,629110,1.027,1294494,1.027,1021627,1.027,848475,1.027,343056,1.027,461774,1.027,388921,1.027,421698,1.027,439522,1.027,412044,1.027,330941,1.027,334241,1.027,335307
1.028,377921,1.028,540333,1.028,593825,1.028,633433,1.028,1308213,1.028,1033691,1.028,857962,1.028,341510,1.028,459405,1.028,386631,1.028,420331,1.028,437749,1.028,409879,1.028,329125,1.028,332482,1.028,333205
1.03,376993,1.03,543099,1.03,597790,1.03,637942,1.03,1322272,1.03,1045895,1.03,867541,1.03,339904,1.03,457089,1.03,384569,1.03,418986,1.03,436036,1.03,408112,1.03,327269,1.03,330858,1.03,331255
1.032,376114,1.032,546061,1.032,601885,1.032,642531,1.032,1336705,1.032,1058302,1.032,877428,1.032,338453,1.032,454711,1.032,382726,1.032,417807,1.032,434400,1.032,406438,1.032,325574,1.032,329401,1.032,329495
1.033,375075,1.033,549186,1.033,606506,1.033,647235,1.033,1351665,1.033,1071010,1.033,887594,1.033,336745,1.033,452392,1.033,381071,1.033,416728,1.033,432889,1.033,405198,1.033,323880,1.033,328050,1.033,327950
1.035,373995,1.035,552172,1.035,610890,1.035,652171,1.035,1366866,1.035,1084026,1.035,897625,1.035,334866,1.035,450095,1.035,379833,1.035,415579,1.035,431665,1.035,403755,1.035,322364,1.035,326490,1.035,326581
1.037,372742,1.037,555024,1.037,615143,1.037,657375,1.037,1382309,1.037,1097068,1.037,907939,1.037,333172,1.037,448377,1.037,378627,1.037,414432,1.037,430433,1.037,402354,1.037,321028,1.037,325102,1.037,325411
1.038,371501,1.038,557969,1.038,619509,1.038,662443,1.038,1397877,1.038,1110556,1.038,918770,1.038,331431,1.038,446796,1.038,377381,1.038,413388,1.038,429502,1.038,400999,1.038,319605,1.038,323625,1.038,324354
1.04,370177,1.04,560777,1.04,624073,1.04,667826,1.04,1413668,1.04,1124276,1.04,929989,1.04,329880,1.04,445127,1.04,376050,1.04,412445,1.04,428462,1.04,399700,1.04,318226,1.04,322232,1.04,323448
1.042,368829,1.042,563508,1.042,628473,1.042,673271,1.042,1429507,1.042,1138461,1.042,941264,1.042,328644,1.042,443322,1.042,374673,1.042,411724,1.042,427215,1.042,398188,1.042,317150,1.042,320934,1.042,322371
1.043,367470,1.043,566588,1.043,632995,1.043,678685,1.043,1445436,1.043,1152834,1.043,953127,1.043,327678,1.043,441735,1.043,372975,1.043,410845,1.043,425864,1.043,397018,1.043,316113,1.043,319868,1.043,321221
1.045,366312,1.045,570003,1.045,637838,1.045,684149,1.045,1461576,1.045,1167769,1.045,965304,1.045,326475,1.045,439763,1.045,371335,1.045,410035,1.045,424457,1.045,395799,1.045,314936,1.045,318595,1.045,319885
1.047,365180,1.047,573599,1.047,642937,1.047,689982,1.047,1477950,1.047,1182792,1.047,977365,1.047,325419,1.047,437809,1.047,369646,1.047,409250,1.047,422955,1.047,394581,1.047,313777,1.047,317388,1.047,318375
