X2,Y2
0,0
0.0008333333,0
0.001666667,0
0.0025,0
0.003333333,0
0.004166667,0
0.005,-3.889203e-06
0.005833333,-4.36604e-06
0.006666667,-4.604459e-06
0.0075,-4.604459e-06
0.008333333,-3.173947e-06
0.009166667,-3.129244e-07
0.01,2.786517e-06
0.01083333,5.409122e-06
0.01166667,6.362796e-06
0.0125,4.217029e-06
0.01333333,-7.897615e-07
0.01416667,-6.988645e-06
0.015,-1.080334e-05
0.01583333,-1.128018e-05
0.01666667,-1.008809e-05
0.0175,-9.611249e-06
0.01833333,-1.056492e-05
0.01916667,-1.175702e-05
0.02,-1.223385e-05
0.02083333,-1.128018e-05
0.02166667,-8.419156e-06
0.0225,-4.604459e-06
0.02333333,1.356006e-06
0.02416667,1.017749e-05
0.025,2.233684e-05
0.02583333,3.640354e-05
0.02666667,4.927814e-05
0.0275,5.881488e-05
0.02833333,6.406009e-05
0.02916667,6.596744e-05
0.03,6.477535e-05
0.03083333,6.119907e-05
0.03166667,5.714595e-05
0.0325,5.333126e-05
0.03333333,5.070865e-05
0.03416667,4.832447e-05
0.035,4.570186e-05
0.03583333,4.260242e-05
0.03666667,3.902614e-05
0.0375,3.425777e-05
0.03833333,2.94894e-05
0.03916667,2.591312e-05
0.04,2.472103e-05
0.04083333,2.448261e-05
0.04166667,2.329051e-05
0.0425,2.090633e-05
0.04333333,1.780689e-05
0.04416667,1.494586e-05
0.045,1.232326e-05
0.04583333,9.223819e-06
0.04666667,6.362796e-06
0.0475,4.455447e-06
0.04833333,2.786517e-06
0.04916667,1.594424e-06
0.05,1.639128e-07
0.05083333,-2.458692e-06
0.05166667,-5.319715e-06
0.0525,-7.465482e-06
0.05333333,-7.227063e-06
0.05416667,-5.558133e-06
0.055,-3.650784e-06
0.05583333,-1.981854e-06
0.05666667,-1.02818e-06
0.0575,-5.51343e-07
0.05833333,-3.129244e-07
0.05916667,-7.897615e-07
0.06,-2.220273e-06
0.06083333,-4.36604e-06
0.06166667,-7.227063e-06
0.0625,-9.37283e-06
0.06333333,-1.008809e-05
0.06416667,-1.008809e-05
0.065,-1.056492e-05
0.06583333,-1.128018e-05
0.06666667,-1.199543e-05
0.0675,-1.366436e-05
0.06833333,-1.533329e-05
0.06916667,-1.652539e-05
0.07,-1.604855e-05
0.07083333,-1.557171e-05
0.07166667,-1.676381e-05
0.0725,-1.962483e-05
0.07333333,-2.248585e-05
0.07416667,-2.534688e-05
0.075,-2.749264e-05
0.07583333,-2.844632e-05
0.07666667,-2.773106e-05
0.0775,-2.510846e-05
0.07833333,-2.248585e-05
0.07916667,-2.081692e-05
0.08,-2.105534e-05
0.08083333,-2.105534e-05
0.08166667,-2.200902e-05
0.0825,-2.343953e-05
0.08333333,-2.534688e-05
0.08416667,-2.606213e-05
0.085,-2.510846e-05
0.08583333,-2.415478e-05
0.08666667,-2.367795e-05
0.0875,-2.43932e-05
0.08833333,-2.463162e-05
0.08916667,-2.367795e-05
0.09,-2.17706e-05
0.09083333,-2.010167e-05
0.09166667,-1.962483e-05
0.0925,-2.081692e-05
0.09333333,-2.272427e-05
0.09416667,-2.534688e-05
0.095,-2.653897e-05
0.09583333,-2.534688e-05
0.09666667,-2.320111e-05
0.0975,-2.200902e-05
0.09833333,-2.320111e-05
0.09916667,-2.510846e-05
0.1,-2.487004e-05
0.1008333,-2.248585e-05
0.1016667,-1.986325e-05
0.1025,-1.867115e-05
0.1033333,-1.962483e-05
0.1041667,-2.224743e-05
0.105,-2.558529e-05
0.1058333,-2.773106e-05
0.1066667,-2.82079e-05
0.1075,-2.749264e-05
0.1083333,-2.677739e-05
0.1091667,-2.558529e-05
0.11,-2.296269e-05
0.1108333,-1.986325e-05
0.1116667,-1.819432e-05
0.1125,-1.914799e-05
0.1133333,-2.17706e-05
0.1141667,-2.343953e-05
0.115,-2.248585e-05
0.1158333,-1.986325e-05
0.1166667,-1.819432e-05
0.1175,-1.676381e-05
0.1183333,-1.318753e-05
0.1191667,-6.273389e-06
0.12,2.548099e-06
0.1208333,1.184642e-05
0.1216667,1.995265e-05
0.1225,2.805889e-05
0.1233333,3.59267e-05
0.1241667,4.260242e-05
0.125,4.927814e-05
0.1258333,5.595386e-05
0.1266667,6.334484e-05
0.1275,7.002056e-05
0.1283333,7.502735e-05
0.1291667,7.979572e-05
0.13,8.432567e-05
0.1308333,8.766353e-05
0.1316667,8.718669e-05
0.1325,8.3372e-05
0.1333333,7.908046e-05
0.1341667,7.455051e-05
0.135,7.049739e-05
0.1358333,6.644428e-05
0.1366667,6.453693e-05
0.1375,7.502735e-05
0.1383333,0.0001408309
0.1391667,0.0003747195
0.14,0.0009853095
0.1408333,0.002240345
0.1416667,0.004346296
0.1425,0.007288143
0.1433333,0.01074116
0.1441667,0.01414363
0.145,0.01689951
0.1458333,0.01859753
0.1466667,0.01911299
0.1475,0.01857917
0.1483333,0.01728074
0.1491667,0.01555078
0.15,0.01370279
