X33,Y33
0,0
0.0008333333,0
0.001666667,0
0.0025,0
0.003333333,0
0.004166667,0
0.005,5.796552e-06
0.005833333,5.319715e-06
0.006666667,4.604459e-06
0.0075,3.650784e-06
0.008333333,2.935529e-06
0.009166667,2.935529e-06
0.01,4.127622e-06
0.01083333,5.558133e-06
0.01166667,6.750226e-06
0.0125,6.511807e-06
0.01333333,5.558133e-06
0.01416667,4.842877e-06
0.015,4.604459e-06
0.01583333,5.081296e-06
0.01666667,4.842877e-06
0.0175,3.889203e-06
0.01833333,2.220273e-06
0.01916667,3.129244e-07
0.02,-8.791685e-07
0.02083333,-1.594424e-06
0.02166667,-6.407499e-07
0.0225,2.69711e-06
0.02333333,8.419156e-06
0.02416667,1.700222e-05
0.025,2.630055e-05
0.02583333,3.440678e-05
0.02666667,3.893673e-05
0.0275,3.965199e-05
0.02833333,4.012883e-05
0.02916667,4.155934e-05
0.03,4.322827e-05
0.03083333,4.275143e-05
0.03166667,3.917515e-05
0.0325,3.321469e-05
0.03333333,2.82079e-05
0.03416667,2.677739e-05
0.035,2.916157e-05
0.03583333,3.20226e-05
0.03666667,3.226101e-05
0.0375,2.963841e-05
0.03833333,2.701581e-05
0.03916667,2.582371e-05
0.04,2.582371e-05
0.04083333,2.510846e-05
0.04166667,2.248585e-05
0.0425,1.890957e-05
0.04333333,1.485646e-05
0.04416667,1.199543e-05
0.045,1.056492e-05
0.04583333,9.611249e-06
0.04666667,8.895993e-06
0.0475,7.227063e-06
0.04833333,5.081296e-06
0.04916667,4.127622e-06
0.05,4.604459e-06
0.05083333,6.273389e-06
0.05166667,7.942319e-06
0.0525,7.7039e-06
0.05333333,6.273389e-06
0.05416667,4.36604e-06
0.055,3.412366e-06
0.05583333,2.935529e-06
0.05666667,2.220273e-06
0.0575,1.02818e-06
0.05833333,3.129244e-07
0.05916667,3.129244e-07
0.06,7.897615e-07
0.06083333,1.743436e-06
0.06166667,3.412366e-06
0.0625,4.604459e-06
0.06333333,4.842877e-06
0.06416667,3.173947e-06
0.065,7.450581e-08
0.06583333,-2.30968e-06
0.06666667,-1.594424e-06
0.0675,1.743436e-06
0.06833333,4.36604e-06
0.06916667,3.412366e-06
0.07,-1.639128e-07
0.07083333,-4.455447e-06
0.07166667,-7.793307e-06
0.0725,-9.700656e-06
0.07333333,-1.017749e-05
0.07416667,-1.017749e-05
0.075,-9.939075e-06
0.07583333,-1.017749e-05
0.07666667,-9.462237e-06
0.0775,-8.508563e-06
0.07833333,-6.601214e-06
0.07916667,-4.455447e-06
0.08,-3.263354e-06
0.08083333,-4.217029e-06
0.08166667,-5.64754e-06
0.0825,-5.409122e-06
0.08333333,-3.263354e-06
0.08416667,-1.594424e-06
0.085,-2.071261e-06
0.08583333,-3.97861e-06
0.08666667,-6.362796e-06
0.0875,-7.793307e-06
0.08833333,-7.793307e-06
0.08916667,-6.124377e-06
0.09,-3.740191e-06
0.09083333,-2.786517e-06
0.09166667,-4.455447e-06
0.0925,-7.554889e-06
0.09333333,-9.700656e-06
0.09416667,-1.017749e-05
0.095,-8.9854e-06
0.09583333,-7.554889e-06
0.09666667,-6.362796e-06
0.0975,-7.078052e-06
0.09833333,-8.746982e-06
0.09916667,-1.017749e-05
0.1,-1.136959e-05
0.1008333,-1.256168e-05
0.1016667,-1.351535e-05
0.1025,-1.375377e-05
0.1033333,-1.423061e-05
0.1041667,-1.613796e-05
0.105,-1.876056e-05
0.1058333,-2.019107e-05
0.1066667,-1.899898e-05
0.1075,-1.637638e-05
0.1083333,-1.327693e-05
0.1091667,-1.089275e-05
0.11,-9.939075e-06
0.1108333,-9.939075e-06
0.1116667,-1.065433e-05
0.1125,-1.041591e-05
0.1133333,-8.270144e-06
0.1141667,-1.594424e-06
0.115,1.199543e-05
0.1158333,3.345311e-05
0.1166667,6.325543e-05
0.1175,9.973347e-05
0.1183333,0.0001400262
0.1191667,0.0001817495
0.12,0.0002239496
0.1208333,0.000265196
0.1216667,0.0003019124
0.1225,0.0003312379
0.1233333,0.0003505498
0.1241667,0.0003610402
0.125,0.0003648549
0.1258333,0.0003634244
0.1266667,0.0003565103
0.1275,0.0003448278
0.1283333,0.0003302842
0.1291667,0.0003150254
0.13,0.0002983361
0.1308333,0.0002790242
0.1316667,0.0002589971
0.1325,0.0002399236
0.1333333,0.0002222806
0.1341667,0.0002060682
0.135,0.0001912862
0.1358333,0.0001858026
0.1366667,0.0002272874
0.1375,0.0004230291
0.1383333,0.0009878427
0.1391667,0.002213314
0.14,0.0043412
0.1408333,0.007385567
0.1416667,0.01102526
0.1425,0.01466806
0.1433333,0.01766522
0.1441667,0.01955183
0.145,0.02017482
0.1458333,0.0196677
0.1466667,0.01834138
0.1475,0.01657803
0.1483333,0.01477154
0.1491667,0.01328762
0.15,0.01241477
0.1508333,0.01230986
0.1516667,0.01297434
0.1525,0.01427586
0.1533333,0.01600178
0.1541667,0.01791723
0.155,0.01981433
