Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1463,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,1.05E-05,,,
0.1166667,2.91E-05,,,
0.1333333,0.000145674,,,
0.15,0.000806809,,,
0.1666667,0.002138138,,,
0.1833333,0.004466772,,,
0.2,0.006118059,,,
0.2166667,0.005987406,,,
0.2333333,0.004247427,,,
0.25,0.002200127,,,
0.2666667,0.001167059,,,
0.2833333,0.000589132,,,
0.3,0.000448465,,,
0.3166667,0.000342131,,,
0.3333333,0.000262976,,,
0.35,0.000195265,,,
0.3666667,0.00014782,,,
0.3833333,0.000124693,,,
0.4,0.00011158,,,
0.4166667,9.04E-05,,,
0.4333333,5.72E-05,,,
0.45,2.24E-05,,,
0.4666667,-2.38E-07,,,
0.4833333,-1.57E-05,,,
0.5,-2.65E-05,,,
0.5166667,-3.70E-05,,,
0.5333333,-4.74E-05,,,
0.55,-5.58E-05,,,
0.5666667,-6.27E-05,,,
0.5833333,-6.84E-05,,,
0.6,-7.37E-05,,,
0.6166667,-7.94E-05,,,
0.6333333,-8.25E-05,,,
0.65,-8.34E-05,,,
0.6666667,-8.06E-05,,,
0.6833333,-7.84E-05,,,
0.7,-8.15E-05,,,
0.7166667,-8.99E-05,,,
0.7333333,-0.000100136,,,
0.75,-0.000107527,,,
0.7666667,-0.00011301,,,
0.7833333,-0.000116825,,,
0.8,-0.000119925,,,
0.8166667,-0.000121832,,,
0.8333333,-0.000123501,,,
0.85,-0.000125408,,,
0.8666667,-0.000127316,,,
0.8833333,-0.000129223,,,
0.9,-0.000130892,,,
0.9166667,-0.000133038,,,
0.9333333,-0.00013566,,,
0.95,-0.000138283,,,
0.9666667,-0.000139952,,,
0.9833333,-0.000141382,,,
1,-0.000142574,,,
1.016667,-0.000143766,,,
1.033333,-0.000145197,,,
1.05,-0.000146866,,,
1.066667,-0.00014925,,,
1.083333,-0.000151396,,,
1.1,-0.00015378,,,
1.116667,-0.000156164,,,
1.133333,-0.000157833,,,
1.15,-0.000159025,,,
1.166667,-0.000159264,,,
1.183333,-0.000160217,,,
1.2,-0.000162125,,,
1.216667,-0.000163555,,,
1.233333,-0.000164509,,,
1.25,-0.000165224,,,
1.266667,-0.000166178,,,
1.283333,-0.000167131,,,
1.3,-0.000167608,,,
1.316667,-0.00016737,,,
1.333333,-0.000167608,,,
1.35,-0.000169277,,,
1.366667,-0.000172615,,,
1.383333,-0.000175476,,,
1.4,-0.000177622,,,
1.416667,-0.000179052,,,
1.433333,-0.000179768,,,
1.45,-0.000181198,,,
1.466667,-0.000182867,,,
1.483333,-0.000184536,,,
1.5,-0.000185251,,,
1.516667,-0.000185251,,,
1.533333,-0.000185251,,,
1.55,-0.000186205,,,
1.566667,-0.000187635,,,
1.583333,-0.000188112,,,
1.6,-0.000187635,,,
1.616667,-0.000186682,,,
1.633333,-0.00018692,,,
1.65,-0.000187635,,,
1.666667,-0.000189066,,,
1.683333,-0.000190496,,,
1.7,-0.000191689,,,
1.716667,-0.000193119,,,
1.733333,-0.00019455,,,
1.75,-0.000195503,,,
1.766667,-0.000196457,,,
1.783333,-0.000197887,,,
1.8,-0.000199556,,,
1.816667,-0.00020051,,,
1.833333,-0.000201225,,,
1.85,-0.000202417,,,
1.866667,-0.000204563,,,
1.883333,-0.000206232,,,
1.9,-0.000207424,,,
1.916667,-0.000208855,,,
1.933333,-0.000210047,,,
1.95,-0.000211239,,,
1.966667,-0.000211239,,,
1.983333,-0.000211,,,
2,-0.000210524,,,
2.016667,-0.000210524,,,
2.033333,-0.000211477,,,
2.05,-0.000212431,,,
2.066667,-0.000213146,,,
