X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.018,132386,0.018,-504,0.018,-2536,0.018,-1594,0.018,-1802,0.018,1189,0.018,-1264,0.018,-501,0.018,-2063,0.018,-561,0.018,-2812,0.018,-792,0.018,-474,0.018,-3909,0.018,-2856,0.018,-5299,0.018,731,0.018,531,0.018,-402,0.018,-2815,0.018,-869,0.018,-771,0.018,-1936,0.018,-856,0.018,-636,0.018,1775,0.018,-2219,0.018,-982,0.018,-2028,0.018,-203,0.018,-1784,0.018,-4298,0.018,1978,0.018,-4264,0.018,-2404,0.018,-1401,0.018,-1204,0.018,-308,0.018,-2827,0.018,-2836,0.018,-954,0.018,-3380,0.018,-793,0.018,-3428,0.018,-2013,0.018,-2362,0.018,2029,0.018,-3221
0.02,149217,0.02,-522,0.02,-2980,0.02,-2247,0.02,-2680,0.02,1071,0.02,-1724,0.02,-594,0.02,-2416,0.02,-1056,0.02,-3857,0.02,-1456,0.02,-1156,0.02,-4227,0.02,-3367,0.02,-5501,0.02,469,0.02,96,0.02,-706,0.02,-3610,0.02,-1021,0.02,-1194,0.02,-2593,0.02,-990,0.02,-1164,0.02,986,0.02,-3158,0.02,-1305,0.02,-2426,0.02,-726,0.02,-1990,0.02,-4281,0.02,1581,0.02,-5113,0.02,-2996,0.02,-1865,0.02,-1160,0.02,183,0.02,-3192,0.02,-2490,0.02,-1345,0.02,-3983,0.02,-1197,0.02,-3464,0.02,-2247,0.02,-2000,0.02,2196,0.02,-3596
0.022,166153,0.022,-1020,0.022,-3434,0.022,-3156,0.022,-3379,0.022,914,0.022,-2304,0.022,-822,0.022,-2523,0.022,-1625,0.022,-4747,0.022,-2026,0.022,-1792,0.022,-5009,0.022,-4290,0.022,-5889,0.022,-50,0.022,-401,0.022,-1011,0.022,-4376,0.022,-1575,0.022,-1802,0.022,-3108,0.022,-1420,0.022,-1618,0.022,401,0.022,-3959,0.022,-1501,0.022,-2793,0.022,-1012,0.022,-2018,0.022,-4130,0.022,962,0.022,-5866,0.022,-3854,0.022,-2465,0.022,-1155,0.022,639,0.022,-3524,0.022,-2253,0.022,-1892,0.022,-4651,0.022,-1728,0.022,-3540,0.022,-2224,0.022,-1816,0.022,2328,0.022,-3848
0.023,182635,0.023,-1675,0.023,-4109,0.023,-3956,0.023,-3788,0.023,668,0.023,-2864,0.023,-802,0.023,-2590,0.023,-1776,0.023,-5148,0.023,-2712,0.023,-2269,0.023,-5782,0.023,-5266,0.023,-6247,0.023,-428,0.023,-1157,0.023,-1103,0.023,-5191,0.023,-2025,0.023,-2345,0.023,-3541,0.023,-2039,0.023,-2183,0.023,165,0.023,-4693,0.023,-1754,0.023,-3236,0.023,-1154,0.023,-1907,0.023,-4077,0.023,408,0.023,-6422,0.023,-4556,0.023,-3205,0.023,-1099,0.023,1004,0.023,-3619,0.023,-2357,0.023,-2209,0.023,-5285,0.023,-1958,0.023,-3929,0.023,-2079,0.023,-1529,0.023,2262,0.023,-3926
0.025,198782,0.025,-2229,0.025,-4307,0.025,-4505,0.025,-4169,0.025,223,0.025,-3337,0.025,-857,0.025,-2653,0.025,-2074,0.025,-5377,0.025,-3314,0.025,-2649,0.025,-6346,0.025,-6393,0.025,-6710,0.025,-556,0.025,-1592,0.025,-1255,0.025,-5913,0.025,-2234,0.025,-2443,0.025,-3559,0.025,-2349,0.025,-2691,0.025,-38,0.025,-5186,0.025,-1954,0.025,-3718,0.025,-1233,0.025,-1985,0.025,-4057,0.025,159,0.025,-6977,0.025,-5135,0.025,-3876,0.025,-1036,0.025,1155,0.025,-3622,0.025,-2642,0.025,-2287,0.025,-5968,0.025,-2425,0.025,-4101,0.025,-1707,0.025,-1245,0.025,1928,0.025,-3900
0.027,214599,0.027,-2744,0.027,-4569,0.027,-5052,0.027,-4098,0.027,-364,0.027,-3847,0.027,-925,0.027,-2528,0.027,-2452,0.027,-5584,0.027,-3670,0.027,-2827,0.027,-6569,0.027,-7479,0.027,-6882,0.027,-863,0.027,-1939,0.027,-1410,0.027,-6615,0.027,-2406,0.027,-2649,0.027,-3357,0.027,-2606,0.027,-2861,0.027,-48,0.027,-5409,0.027,-1813,0.027,-3822,0.027,-1065,0.027,-1741,0.027,-4125,0.027,-138,0.027,-7198,0.027,-5384,0.027,-4264,0.027,-733,0.027,1142,0.027,-3236,0.027,-3032,0.027,-2605,0.027,-6595,0.027,-2694,0.027,-3994,0.027,-1184,0.027,-938,0.027,1515,0.027,-4163
0.028,229489,0.028,-3532,0.028,-4709,0.028,-5438,0.028,-4165,0.028,-920,0.028,-4298,0.028,-915,0.028,-2186,0.028,-3028,0.028,-5735,0.028,-3859,0.028,-3259,0.028,-7123,0.028,-8572,0.028,-7114,0.028,-1071,0.028,-2453,0.028,-1839,0.028,-7010,0.028,-2743,0.028,-3064,0.028,-2957,0.028,-2898,0.028,-2967,0.028,-52,0.028,-5644,0.028,-1582,0.028,-3978,0.028,-695,0.028,-1499,0.028,-4260,0.028,-456,0.028,-7194,0.028,-5531,0.028,-4707,0.028,-138,0.028,1277,0.028,-2770,0.028,-3314,0.028,-3152,0.028,-6972,0.028,-3024,0.028,-4114,0.028,-445,0.028,-913,0.028,1213,0.028,-4306
0.03,243043,0.03,-4090,0.03,-4380,0.03,-5489,0.03,-4167,0.03,-1486,0.03,-4790,0.03,-962,0.03,-1974,0.03,-3599,0.03,-6013,0.03,-4226,0.03,-3943,0.03,-7452,0.03,-9179,0.03,-7092,0.03,-1049,0.03,-2638,0.03,-2418,0.03,-7614,0.03,-3016,0.03,-3280,0.03,-2806,0.03,-2823,0.03,-3315,0.03,-290,0.03,-6028,0.03,-1542,0.03,-4140,0.03,-462,0.03,-1311,0.03,-4456,0.03,-733,0.03,-7189,0.03,-5434,0.03,-4910,0.03,636,0.03,1463,0.03,-2245,0.03,-3544,0.03,-3582,0.03,-7079,0.03,-3371,0.03,-4403,0.03,320,0.03,-894,0.03,800,0.03,-4505
0.032,254226,0.032,-4515,0.032,-3283,0.032,-5193,0.032,-4159,0.032,-2100,0.032,-5123,0.032,-1240,0.032,-1795,0.032,-4399,0.032,-6500,0.032,-4599,0.032,-4672,0.032,-7820,0.032,-9588,0.032,-7340,0.032,-1194,0.032,-2512,0.032,-3180,0.032,-8047,0.032,-3075,0.032,-3614,0.032,-2841,0.032,-2760,0.032,-3619,0.032,-808,0.032,-6214,0.032,-1264,0.032,-4362,0.032,-231,0.032,-1185,0.032,-4583,0.032,-1143,0.032,-7194,0.032,-5295,0.032,-4990,0.032,1569,0.032,1667,0.032,-2136,0.032,-3471,0.032,-3945,0.032,-7135,0.032,-4002,0.032,-4455,0.032,1107,0.032,-1138,0.032,641,0.032,-4864
0.033,260917,0.033,-4597,0.033,-1631,0.033,-4205,0.033,-4074,0.033,-2761,0.033,-5459,0.033,-1316,0.033,-1500,0.033,-4919,0.033,-6747,0.033,-4831,0.033,-5584,0.033,-8394,0.033,-9743,0.033,-7478,0.033,-1501,0.033,-2549,0.033,-3999,0.033,-8680,0.033,-3457,0.033,-4081,0.033,-3211,0.033,-2984,0.033,-3976,0.033,-1164,0.033,-6416,0.033,-1101,0.033,-4425,0.033,-244,0.033,-925,0.033,-4923,0.033,-1657,0.033,-7199,0.033,-5025,0.033,-4954,0.033,2434,0.033,2019,0.033,-1920,0.033,-3343,0.033,-4474,0.033,-6951,0.033,-4471,0.033,-4737,0.033,1659,0.033,-1584,0.033,529,0.033,-5124
