time,temp,sulf,anly,yield product
41,148,77,84,0.042216504619078686
41,148,77,84,0.042557428046422
41,148,77,84,0.0417043353677011
52,106,93,35,0.2338942893302402
52,106,93,35,0.22522508093849977
52,106,93,35,0.23054343973348473
185,148,85,44,0.3200434917730276
185,148,85,44,0.3362782205322651
185,148,85,44,0.3604550551670823
185,106,75,75,0.029297739483066458
185,106,75,75,0.0327405240523499
185,106,75,75,0.03169300161946944
198,148,85,100,0.49890869455921416
198,148,85,100,0.48750829179098254
198,148,85,100,0.477536334327521
313,106,98,88,0.826722002785772
313,106,98,88,0.8512206733564175
313,106,98,88,0.8368674744706917
336,106,86,65,0.3188997604642445
336,106,86,65,0.3130701360830373
336,106,86,65,0.36033398624019064
350,139,97,68,0.9772336578293609
350,139,97,68,0.9709202913920696
350,139,97,68,0.9816179477806745
430,139,95,87,0.9461969000644599
430,139,95,87,0.9666853224057819
430,139,95,87,0.9463419277645805
443,106,80,79,0.06421398044110212
443,106,80,79,0.06421154422373586
443,106,80,79,0.07592462433407118
471,139,75,98,0.05782343338394054
471,139,75,98,0.0438000906839608
471,139,75,98,0.051611014263148326
492,106,80,65,0.34648342063579163
492,106,80,65,0.4524285613347179
492,106,80,65,0.4867780721576614
534,148,87,62,0.7542235099124104
534,148,87,62,0.7481044329332688
534,148,87,62,0.7720805630834132
540,148,99,33,0.0010191151049798808
540,148,99,33,0.002867712497000025
540,148,99,33,0.0030776291312254417
546,148,92,61,0.04664327038425106
546,148,92,61,0.045840423624452224
546,148,92,61,0.04778474685441057
