time,temp,sulf,anly,yield product
334,70,90,72,0.0065362083132477
339,70,80,49,0.0010777295781145
339,70,80,49,0.0010107589184771
339,70,80,49,0.0012249198068778
405,70,94,58,0.0130131205176598
405,70,94,58,0.0141519753705173
405,70,94,58,0.0136501974708098
423,137,94,58,0.8335895886907412
423,137,94,58,0.7814171847771634
423,137,94,58,0.855716655249227
454,70,87,95,0.0032302892138257
454,70,87,95,0.0037940073621039
454,70,87,95,0.0036136171406833
502,119,92,94,0.2954369391048538
502,119,92,94,0.3257622359579987
502,119,92,94,0.3212055046644538
540,119,95,53,0.3898181361838673
540,119,95,53,0.3687424155889232
540,119,95,53,0.3628650237580581
569,137,99,65,0.9554192634829944
569,137,99,65,0.9846946098632796
569,137,99,65,0.9732085343942602
600,119,90,70,0.4309009853917783
600,119,90,70,0.4391390008881951
600,119,90,70,0.455865872429664
600,137,93,56,0.9137982244205636
600,137,93,56,0.9546582286610866
600,137,93,56,0.9706454295145696
35,119,92,37,0.0033500376142648
35,119,92,37,0.003368156280388
35,119,92,37,0.0036022683917377
56,119,75,82,0.0435598980842161
56,119,75,82,0.0410029639152136
56,119,75,82,0.0423549604766275
202,71,93,44,0.0740652407670943
202,71,93,44,0.0731163815687641
202,71,93,44,0.076638547325616
261,138,96,90,0.0006609714057067
261,138,96,90,0.0006649897540776
261,138,96,90,0.0007651026111616
277,138,99,46,0.1949277278675038
277,138,99,46,0.1918303089981194
277,138,99,46,0.1905510144333813
295,138,96,64,0.4835138866113083
295,138,96,64,0.4828921966124019
295,138,96,64,0.4545342434528269
313,119,96,58,0.0850391205641318
313,119,96,58,0.0850836821920349
313,119,96,58,0.1043520012801664
429,119,99,35,0.7546155329323405
429,119,99,35,0.7935805313123342
429,119,99,35,0.9184793620972552
476,138,91,56,0.7218166469599739
476,138,91,56,0.7338202568251293
476,138,91,56,0.7446521903210543
501,71,99,34,0.0144200906964964
501,71,99,34,0.0127008742298552
501,71,99,34,0.0151961242395288
503,119,81,48,0.0117285542396194
503,119,81,48,0.0082058512417144
503,119,81,48,0.0103368038683673
523,138,85,75,0.0199444466050575
523,138,85,75,0.0217839380295371
523,138,85,75,0.0140677842412507
551,119,99,91,0.7891791818155802
551,119,99,91,0.6760238883927236
551,119,99,91,0.665297477113058
552,71,75,40,0.9812342280478924
552,71,75,40,0.9900846696249668
552,71,75,40,0.987225229295774
595,71,99,57,0.9094972729568744
595,71,99,57,0.8781232800882556
595,71,99,57,0.9556852536576802
41,148,77,84,0.0422165046190786
41,148,77,84,0.042557428046422
41,148,77,84,0.0417043353677011
52,106,93,35,0.2338942893302402
52,106,93,35,0.2252250809384997
52,106,93,35,0.2305434397334847
185,148,85,44,0.3200434917730276
185,148,85,44,0.3362782205322651
185,148,85,44,0.3604550551670823
185,106,75,75,0.0292977394830664
185,106,75,75,0.0327405240523499
185,106,75,75,0.0316930016194694
198,148,85,100,0.4989086945592141
198,148,85,100,0.4875082917909825
198,148,85,100,0.477536334327521
313,106,98,88,0.826722002785772
313,106,98,88,0.8512206733564175
313,106,98,88,0.8368674744706917
336,106,86,65,0.3188997604642445
336,106,86,65,0.3130701360830373
336,106,86,65,0.3603339862401906
350,139,97,68,0.9772336578293608
350,139,97,68,0.9709202913920696
350,139,97,68,0.9816179477806743
430,139,95,87,0.94619690006446
430,139,95,87,0.966685322405782
430,139,95,87,0.9463419277645804
443,106,80,79,0.0642139804411021
443,106,80,79,0.0642115442237358
443,106,80,79,0.0759246243340711
471,139,75,98,0.0578234333839405
471,139,75,98,0.0438000906839608
471,139,75,98,0.0516110142631483
492,106,80,65,0.3464834206357916
492,106,80,65,0.4524285613347179
492,106,80,65,0.4867780721576614
534,148,87,62,0.7542235099124104
534,148,87,62,0.7481044329332688
534,148,87,62,0.7720805630834132
540,148,99,33,0.0010191151049798
540,148,99,33,0.002867712497
540,148,99,33,0.0030776291312254
546,148,92,61,0.046643270384251
546,148,92,61,0.0458404236244522
546,148,92,61,0.0477847468544105
261,138,96,90,0.9343127496654756
261,138,96,90,0.8308550373524086
261,138,96,90,0.8325269433288133
295,138,96,64,0.7653697312676891
295,138,96,64,0.9442836565459566
295,138,96,64,0.9059266198110472
540,148,99,33,0.9458970608858552
540,148,99,33,0.8588078417568428
540,148,99,33,0.8845668237938605
546,148,92,61,0.8095027098438541
546,148,92,61,0.9078928169427388
546,148,92,61,0.890166089903179
552,71,75,40,0.0004796434062587
552,71,75,40,0.0005160802503269
552,71,75,40,0.0004850427413639
595,71,99,57,0.0350107938988536
595,71,99,57,0.0328166595700058
595,71,99,57,0.0329517659436974
502,119,92,94,0.2184575602009243
502,119,92,94,0.2164178266307372
502,119,92,94,0.2153546222534219
