time,temp,sulf,anly,yield product,var yield,category
49.0,45.0,89.0,84.0,0.010383975056744767,0.002200116018877843,R 01
87.0,95.0,95.0,97.0,0.1070938758794292,0.008233192083611311,R 01
125.0,95.0,80.0,39.0,0.0343203572877762,0.012048929173386706,R 01
163.0,145.0,90.0,57.0,0.7987565311176378,0.14633749066972512,R 01
201.0,145.0,75.0,79.0,0.025970575487028937,0.008562654686203994,R 01
239.0,95.0,82.0,62.0,0.027983521117954203,0.010711518991571179,R 01
277.0,45.0,77.0,93.0,0.015560341959320935,0.005803994328651298,R 01
315.0,95.0,92.0,75.0,0.3123466836612682,0.02635736341765698,R 01
353.0,145.0,94.0,66.0,0.9973355365648132,0.00018995199233900792,R 01
391.0,145.0,97.0,35.0,0.9978528481742507,9.419515051863209e-05,R 01
429.0,45.0,84.0,48.0,0.023294810466436902,0.01096033781646828,R 01
466.0,45.0,85.0,70.0,0.014722998295961737,0.007575363436741445,R 01
505.0,45.0,99.0,53.0,0.032290599619020637,0.010341283492188408,R 01
543.0,145.0,79.0,88.0,0.21397347471385383,0.1053592974884683,R 01
581.0,95.0,87.0,44.0,0.16997266210483253,0.02137527567328943,R 01
153.0,104.0,75.0,57.0,0.5155036084597907,0.3411726614918908,R 2A
260.0,104.0,80.0,38.0,0.6435832414687901,0.23867757575582427,R 2A
330.0,58.0,79.0,75.0,0.33942574354073834,0.036901118304361914,R 2A
333.0,58.0,89.0,61.0,0.3316085383304459,0.02653274473990205,R 2A
408.0,104.0,90.0,71.0,0.8053753313636793,0.04232238191714614,R 2A
468.0,104.0,85.0,54.0,0.5321647597326384,0.17470112936079768,R 2A
471.0,104.0,79.0,75.0,0.3646797260373766,0.03676317958631075,R 2A
486.0,104.0,88.0,86.0,0.7695130325966374,0.016467312113489924,R 2A
503.0,58.0,81.0,62.0,0.30764912127746563,0.01776486991829305,R 2A
509.0,104.0,89.0,86.0,0.6917641954810178,0.05162777432869275,R 2A
528.0,104.0,79.0,83.0,0.23111108198463134,0.014116437253614243,R 2A
545.0,133.0,96.0,82.0,0.9761962361269201,0.0003938783216342862,R 2A
555.0,58.0,98.0,72.0,0.3539146649227199,0.030906017933111443,R 2A
