Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1407,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,9.33E-06,,,
0.1166667,8.61E-06,,,
0.1333333,1.05E-05,,,
0.15,0.000615627,,,
0.1666667,0.001973182,,,
0.1833333,0.005071908,,,
0.2,0.007817298,,,
0.2166667,0.008422405,,,
0.2333333,0.006503373,,,
0.25,0.003552228,,,
0.2666667,0.001815587,,,
0.2833333,0.000748903,,,
0.3,0.000479251,,,
0.3166667,0.000343591,,,
0.3333333,0.000278503,,,
0.35,0.00021103,,,
0.3666667,0.000146419,,,
0.3833333,9.71E-05,,,
0.4,7.13E-05,,,
0.4166667,4.65E-05,,,
0.4333333,1.96E-05,,,
0.45,-1.09E-05,,,
0.4666667,-3.45E-05,,,
0.4833333,-5.17E-05,,,
0.5,-6.29E-05,,,
0.5166667,-6.84E-05,,,
0.5333333,-7.15E-05,,,
0.55,-7.60E-05,,,
0.5666667,-8.44E-05,,,
0.5833333,-9.46E-05,,,
0.6,-0.000102967,,,
0.6166667,-0.000109404,,,
0.6333333,-0.000114173,,,
0.65,-0.00011608,,,
0.6666667,-0.000115365,,,
0.6833333,-0.000112265,,,
0.7,-0.000111073,,,
0.7166667,-0.000114888,,,
0.7333333,-0.000122756,,,
0.75,-0.0001311,,,
0.7666667,-0.000137299,,,
0.7833333,-0.000141352,,,
0.8,-0.000144213,,,
0.8166667,-0.000147075,,,
0.8333333,-0.00014922,,,
0.85,-0.000151128,,,
0.8666667,-0.00015232,,,
0.8833333,-0.000153273,,,
0.9,-0.000154465,,,
0.9166667,-0.000155896,,,
0.9333333,-0.000157565,,,
0.95,-0.000159472,,,
0.9666667,-0.000160664,,,
0.9833333,-0.000160188,,,
1,-0.000158519,,,
1.016667,-0.000156611,,,
1.033333,-0.000156611,,,
1.05,-0.000158995,,,
1.066667,-0.000163049,,,
1.083333,-0.000166386,,,
1.1,-0.000167817,,,
1.116667,-0.000168771,,,
1.133333,-0.000170201,,,
1.15,-0.00017187,,,
1.166667,-0.000173301,,,
1.183333,-0.000174254,,,
1.2,-0.000174969,,,
1.216667,-0.0001764,,,
1.233333,-0.000178069,,,
1.25,-0.000180215,,,
1.266667,-0.000181884,,,
1.283333,-0.000183791,,,
1.3,-0.000185698,,,
1.316667,-0.000187367,,,
1.333333,-0.000188321,,,
1.35,-0.000189036,,,
1.366667,-0.000189036,,,
1.383333,-0.000188798,,,
1.4,-0.000189275,,,
1.416667,-0.000189751,,,
1.433333,-0.000189275,,,
1.45,-0.000189036,,,
1.466667,-0.000190467,,,
1.483333,-0.000193328,,,
1.5,-0.000196904,,,
1.516667,-0.000198811,,,
1.533333,-0.00020048,,,
1.55,-0.000201672,,,
1.566667,-0.000202388,,,
1.583333,-0.000202626,,,
1.6,-0.000202388,,,
1.616667,-0.000202626,,,
1.633333,-0.000203341,,,
1.65,-0.000205249,,,
1.666667,-0.000206918,,,
1.683333,-0.000208587,,,
1.7,-0.00020954,,,
1.716667,-0.000210494,,,
1.733333,-0.000211686,,,
1.75,-0.000213116,,,
1.766667,-0.000214785,,,
1.783333,-0.000216454,,,
1.8,-0.000218362,,,
1.816667,-0.000220269,,,
1.833333,-0.000222415,,,
1.85,-0.000225276,,,
1.866667,-0.000227422,,,
1.883333,-0.000228852,,,
1.9,-0.000229091,,,
1.916667,-0.000229091,,,
1.933333,-0.000228375,,,
1.95,-0.000227183,,,
1.966667,-0.000226468,,,
1.983333,-0.000226468,,,
2,-0.000227183,,,
2.016667,-0.000227422,,,
2.033333,-0.000227422,,,
2.05,-0.000227183,,,
2.066667,-0.000226468,,,
2.083333,-0.000226468,,,
2.1,-0.000226468,,,
2.116667,-0.000226945,,,
2.133333,-0.000227898,,,
2.15,-0.000229091,,,
2.166667,-0.000230521,,,
2.183333,-0.000231952,,,
2.2,-0.000233859,,,
2.216667,-0.000235766,,,
2.233333,-0.000237674,,,
2.25,-0.000239104,,,
2.266667,-0.000240058,,,
2.283333,-0.000240773,,,
2.3,-0.000241965,,,
2.316667,-0.000243872,,,
2.333333,-0.000246257,,,
2.35,-0.000248402,,,
2.366667,-0.000249594,,,
2.383333,-0.000250548,,,
2.4,-0.000251979,,,
2.416667,-0.000253409,,,
2.433333,-0.000255078,,,
2.45,-0.000255555,,,
2.466667,-0.000255078,,,
2.483333,-0.000253886,,,
2.5,-0.000253409,,,
2.516667,-0.000253886,,,
2.533333,-0.000255078,,,
2.55,-0.000256032,,,
2.566667,-0.000257224,,,
