X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.018,7,0.018,3356,0.018,-2696,0.018,-2288,0.018,1758,0.018,3568,0.018,-3452,0.018,1615,0.018,6104,0.018,5161,0.018,-1943,0.018,652,0.018,1208,0.018,1979,0.018,-2404,0.018,810,0.018,7273,0.018,3877,0.018,-691,0.018,-2180,0.018,-1515,0.018,-1024,0.018,-2139,0.018,-2620,0.018,768,0.018,1185,0.018,-1042,0.018,-844,0.018,1694,0.018,-3311,0.018,-4941,0.018,-4300,0.018,-2775,0.018,-6643,0.018,-1972,0.018,-875,0.018,606,0.018,-432,0.018,-5527,0.018,-5109,0.018,-322,0.018,-2242,0.018,-4260,0.018,-2407,0.018,-3471,0.018,-830,0.018,334,0.018,-4018
0.02,67,0.02,3567,0.02,-2989,0.02,-2398,0.02,1467,0.02,3755,0.02,-3450,0.02,1160,0.02,6203,0.02,5213,0.02,-2368,0.02,647,0.02,777,0.02,1459,0.02,-2520,0.02,220,0.02,7227,0.02,4002,0.02,-1407,0.02,-2603,0.02,-1706,0.02,-1927,0.02,-2443,0.02,-3101,0.02,753,0.02,1239,0.02,-1374,0.02,-954,0.02,1162,0.02,-3737,0.02,-5116,0.02,-4362,0.02,-3694,0.02,-6964,0.02,-2460,0.02,-801,0.02,780,0.02,-895,0.02,-5659,0.02,-5239,0.02,39,0.02,-2798,0.02,-4821,0.02,-2717,0.02,-3614,0.02,-1180,0.02,-15,0.02,-4124
0.022,35,0.022,3386,0.022,-3305,0.022,-2870,0.022,1043,0.022,3983,0.022,-3620,0.022,678,0.022,6030,0.022,5223,0.022,-2914,0.022,670,0.022,267,0.022,1084,0.022,-2558,0.022,-397,0.022,7141,0.022,4209,0.022,-2183,0.022,-3162,0.022,-2222,0.022,-2632,0.022,-2417,0.022,-3504,0.022,913,0.022,1236,0.022,-2043,0.022,-1207,0.022,480,0.022,-4081,0.022,-5323,0.022,-4721,0.022,-4613,0.022,-7115,0.022,-3248,0.022,-972,0.022,500,0.022,-1465,0.022,-5921,0.022,-5024,0.022,225,0.022,-3594,0.022,-5412,0.022,-2949,0.022,-3970,0.022,-1872,0.022,-243,0.022,-4122
0.023,-179,0.023,3291,0.023,-3428,0.023,-3547,0.023,743,0.023,4080,0.023,-3876,0.023,79,0.023,5674,0.023,4883,0.023,-3287,0.023,786,0.023,-421,0.023,629,0.023,-2690,0.023,-1191,0.023,7133,0.023,4331,0.023,-2669,0.023,-3517,0.023,-2645,0.023,-3041,0.023,-2238,0.023,-4015,0.023,985,0.023,1254,0.023,-2714,0.023,-1465,0.023,-111,0.023,-4387,0.023,-5362,0.023,-4993,0.023,-5108,0.023,-7166,0.023,-4006,0.023,-1292,0.023,-64,0.023,-1750,0.023,-6289,0.023,-4593,0.023,456,0.023,-4092,0.023,-5924,0.023,-3083,0.023,-4417,0.023,-2093,0.023,-668,0.023,-3955
0.025,-768,0.025,3080,0.025,-3556,0.025,-4316,0.025,262,0.025,4402,0.025,-4124,0.025,-467,0.025,5290,0.025,4706,0.025,-3886,0.025,1069,0.025,-1098,0.025,190,0.025,-2505,0.025,-1766,0.025,7026,0.025,4280,0.025,-2956,0.025,-3567,0.025,-2877,0.025,-3189,0.025,-1894,0.025,-4413,0.025,1526,0.025,1562,0.025,-3160,0.025,-1521,0.025,-875,0.025,-4656,0.025,-5259,0.025,-5235,0.025,-5502,0.025,-7292,0.025,-4735,0.025,-1906,0.025,-640,0.025,-1983,0.025,-6854,0.025,-4322,0.025,714,0.025,-4591,0.025,-6554,0.025,-3244,0.025,-5074,0.025,-2542,0.025,-992,0.025,-3910
0.027,-1177,0.027,2608,0.027,-3427,0.027,-5159,0.027,-84,0.027,4686,0.027,-4642,0.027,-700,0.027,4800,0.027,4326,0.027,-4267,0.027,1385,0.027,-2044,0.027,-349,0.027,-2225,0.027,-2067,0.027,7014,0.027,4505,0.027,-3247,0.027,-3532,0.027,-3084,0.027,-3200,0.027,-1356,0.027,-4566,0.027,2131,0.027,2055,0.027,-3399,0.027,-1456,0.027,-1466,0.027,-4680,0.027,-5321,0.027,-5522,0.027,-5806,0.027,-7346,0.027,-5036,0.027,-2497,0.027,-1303,0.027,-2226,0.027,-7122,0.027,-4187,0.027,1005,0.027,-4887,0.027,-7044,0.027,-3534,0.027,-5457,0.027,-2510,0.027,-1152,0.027,-4005
0.028,-1809,0.028,1904,0.028,-3255,0.028,-5669,0.028,-733,0.028,5248,0.028,-4880,0.028,-708,0.028,4497,0.028,3835,0.028,-4590,0.028,1491,0.028,-2705,0.028,-797,0.028,-1790,0.028,-2340,0.028,6900,0.028,4689,0.028,-3664,0.028,-3728,0.028,-3659,0.028,-2779,0.028,-808,0.028,-4660,0.028,2711,0.028,2572,0.028,-3783,0.028,-1288,0.028,-1842,0.028,-4605,0.028,-5407,0.028,-6002,0.028,-5895,0.028,-7464,0.028,-5373,0.028,-2806,0.028,-1904,0.028,-2073,0.028,-7564,0.028,-3973,0.028,1418,0.028,-5177,0.028,-7806,0.028,-3810,0.028,-5938,0.028,-2583,0.028,-1035,0.028,-4018
0.03,-2629,0.03,1335,0.03,-2793,0.03,-5312,0.03,-1252,0.03,5727,0.03,-5080,0.03,-692,0.03,4070,0.03,3324,0.03,-4846,0.03,1736,0.03,-3135,0.03,-1561,0.03,-1315,0.03,-2501,0.03,6879,0.03,4725,0.03,-3874,0.03,-3934,0.03,-3985,0.03,-2412,0.03,-517,0.03,-4793,0.03,3048,0.03,2846,0.03,-3842,0.03,-1018,0.03,-1936,0.03,-4557,0.03,-5746,0.03,-6341,0.03,-6260,0.03,-7587,0.03,-5504,0.03,-3001,0.03,-2239,0.03,-2069,0.03,-7863,0.03,-4073,0.03,2082,0.03,-5380,0.03,-8371,0.03,-4430,0.03,-6305,0.03,-2486,0.03,-856,0.03,-4089
0.032,-3274,0.032,788,0.032,-1333,0.032,-3851,0.032,-1745,0.032,6154,0.032,-5398,0.032,-789,0.032,4018,0.032,2853,0.032,-5142,0.032,2176,0.032,-3351,0.032,-2253,0.032,-655,0.032,-2425,0.032,6643,0.032,4810,0.032,-3965,0.032,-4189,0.032,-4578,0.032,-2211,0.032,-247,0.032,-4919,0.032,3299,0.032,3221,0.032,-4152,0.032,-862,0.032,-2027,0.032,-4476,0.032,-6221,0.032,-6640,0.032,-7022,0.032,-7840,0.032,-5560,0.032,-3047,0.032,-2497,0.032,-2043,0.032,-7976,0.032,-4375,0.032,2576,0.032,-5697,0.032,-8994,0.032,-5178,0.032,-6858,0.032,-2572,0.032,-436,0.032,-3985
0.033,-3470,0.033,254,0.033,1195,0.033,-776,0.033,-1969,0.033,6356,0.033,-5578,0.033,-1159,0.033,3850,0.033,2358,0.033,-5245,0.033,2637,0.033,-3611,0.033,-2871,0.033,5,0.033,-2234,0.033,6313,0.033,4893,0.033,-4474,0.033,-4690,0.033,-5188,0.033,-2127,0.033,-20,0.033,-5194,0.033,3442,0.033,3323,0.033,-4589,0.033,-547,0.033,-2004,0.033,-4365,0.033,-6942,0.033,-7046,0.033,-7969,0.033,-7941,0.033,-5524,0.033,-2835,0.033,-2858,0.033,-1975,0.033,-8025,0.033,-4650,0.033,2894,0.033,-5821,0.033,-9529,0.033,-6051,0.033,-7261,0.033,-2468,0.033,196,0.033,-4119
0.035,-3690,0.035,208,0.035,5301,0.035,3698,0.035,-1896,0.035,6225,0.035,-5680,0.035,-1741,0.035,4179,0.035,2334,0.035,-5252,0.035,3758,0.035,-3442,0.035,-3142,0.035,472,0.035,-2280,0.035,5873,0.035,4686,0.035,-5008,0.035,-5274,0.035,-5621,0.035,-1923,0.035,-11,0.035,-5558,0.035,3419,0.035,3228,0.035,-5097,0.035,-512,0.035,-2167,0.035,-4425,0.035,-7372,0.035,-7536,0.035,-8887,0.035,-8181,0.035,-5622,0.035,-2621,0.035,-2831,0.035,-2042,0.035,-8079,0.035,-4832,0.035,3045,0.035,-6148,0.035,-10003,0.035,-6879,0.035,-7670,0.035,-2583,0.035,802,0.035,-4056
0.037,-3231,0.037,1148,0.037,10604,0.037,9409,0.037,-678,0.037,5906,0.037,-6080,0.037,-2592,0.037,4986,0.037,2712,0.037,-4830,0.037,6012,0.037,-3151,0.037,-3334,0.037,802,0.037,-2228,0.037,5617,0.037,4477,0.037,-5198,0.037,-5714,0.037,-5712,0.037,-1866,0.037,210,0.037,-5773,0.037,3235,0.037,3012,0.037,-5661,0.037,-454,0.037,-2367,0.037,-4566,0.037,-7812,0.037,-7649,0.037,-9764,0.037,-8527,0.037,-5628,0.037,-2684,0.037,-2868,0.037,-2392,0.037,-8180,0.037,-5227,0.037,3095,0.037,-6324,0.037,-10324,0.037,-7636,0.037,-7683,0.037,-2514,0.037,1100,0.037,-4184
0.038,-1870,0.038,3358,0.038,17034,0.038,15587,0.038,1561,0.038,5584,0.038,-6387,0.038,-3488,0.038,6911,0.038,3864,0.038,-3448,0.038,9486,0.038,-2611,0.038,-3174,0.038,916,0.038,-2133,0.038,5586,0.038,4469,0.038,-5436,0.038,-5933,0.038,-5583,0.038,-1493,0.038,520,0.038,-5953,0.038,3247,0.038,2967,0.038,-6159,0.038,-400,0.038,-2640,0.038,-4593,0.038,-8062,0.038,-7781,0.038,-10366,0.038,-8960,0.038,-5736,0.038,-2829,0.038,-2922,0.038,-2434,0.038,-8295,0.038,-5438,0.038,3021,0.038,-6137,0.038,-10573,0.038,-8124,0.038,-7632,0.038,-2652,0.038,1488,0.038,-4215
