Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1383,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,5.96E-06,,,
0.1166667,7.87E-06,,,
0.1333333,2.46E-05,,,
0.15,0.000467777,,,
0.1666667,0.001428843,,,
0.1833333,0.003534079,,,
0.2,0.005291939,,,
0.2166667,0.005558968,,,
0.2333333,0.004200697,,,
0.25,0.002411842,,,
0.2666667,0.001662254,,,
0.2833333,0.001667976,,,
0.3,0.002061605,,,
0.3166667,0.00199914,,,
0.3333333,0.001437664,,,
0.35,0.000718832,,,
0.3666667,0.000347376,,,
0.3833333,0.000169277,,,
0.4,0.000140905,,,
0.4166667,0.000113964,,,
0.4333333,7.37E-05,,,
0.45,2.91E-05,,,
0.4666667,-4.53E-06,,,
0.4833333,-3.08E-05,,,
0.5,-4.77E-05,,,
0.5166667,-5.82E-05,,,
0.5333333,-6.51E-05,,,
0.55,-7.18E-05,,,
0.5666667,-7.96E-05,,,
0.5833333,-8.82E-05,,,
0.6,-9.61E-05,,,
0.6166667,-0.000102758,,,
0.6333333,-0.000106812,,,
0.65,-0.000108719,,,
0.6666667,-0.000108242,,,
0.6833333,-0.000109196,,,
0.7,-0.000113487,,,
0.7166667,-0.000121832,,,
0.7333333,-0.000131369,,,
0.75,-0.000138044,,,
0.7666667,-0.000141621,,,
0.7833333,-0.000143051,,,
0.8,-0.000144482,,,
0.8166667,-0.000145674,,,
0.8333333,-0.000146627,,,
0.85,-0.000146866,,,
0.8666667,-0.000147581,,,
0.8833333,-0.000148296,,,
0.9,-0.000150442,,,
0.9166667,-0.000153065,,,
0.9333333,-0.000156641,,,
0.95,-0.000160217,,,
0.9666667,-0.000163317,,,
0.9833333,-0.000165224,,,
1,-0.000164509,,,
1.016667,-0.00016284,,,
1.033333,-0.000162125,,,
1.05,-0.000164032,,,
1.066667,-0.000166893,,,
1.083333,-0.000169754,,,
1.1,-0.000172377,,,
1.116667,-0.000174999,,,
1.133333,-0.000177622,,,
1.15,-0.000180483,,,
1.166667,-0.000183344,,,
1.183333,-0.000185967,,,
1.2,-0.000187874,,,
1.216667,-0.000189304,,,
1.233333,-0.000190496,,,
1.25,-0.000192165,,,
1.266667,-0.000193834,,,
1.283333,-0.000195026,,,
1.3,-0.000195026,,,
1.316667,-0.000195026,,,
1.333333,-0.000196219,,,
1.35,-0.000198126,,,
1.366667,-0.000200748,,,
1.383333,-0.00020361,,,
1.4,-0.000206232,,,
1.416667,-0.000208855,,,
1.433333,-0.000210524,,,
1.45,-0.000211239,,,
1.466667,-0.000211477,,,
1.483333,-0.000212431,,,
1.5,-0.000213623,,,
1.516667,-0.0002141,,,
1.533333,-0.0002141,,,
1.55,-0.000214338,,,
1.566667,-0.000215054,,,
1.583333,-0.000216246,,,
1.6,-0.000217438,,,
1.616667,-0.000217676,,,
1.633333,-0.000217915,,,
1.65,-0.000219822,,,
1.666667,-0.000223398,,,
1.683333,-0.000226021,,,
1.7,-0.000226736,,,
1.716667,-0.000225544,,,
1.733333,-0.000223875,,,
1.75,-0.000223637,,,
1.766667,-0.000224829,,,
1.783333,-0.000227213,,,
1.8,-0.000229836,,,
1.816667,-0.000231266,,,
1.833333,-0.000231743,,,
1.85,-0.000231028,,,
1.866667,-0.000230789,,,
1.883333,-0.000231504,,,
1.9,-0.000232935,,,
1.916667,-0.000234127,,,
1.933333,-0.000234842,,,
1.95,-0.000236273,,,
1.966667,-0.000238419,,,
1.983333,-0.000240326,,,
2,-0.000241995,,,
2.016667,-0.000242472,,,
2.033333,-0.000242233,,,
2.05,-0.000240803,,,
2.066667,-0.000238419,,,
2.083333,-0.000236273,,,
2.1,-0.000235319,,,
2.116667,-0.000235558,,,
2.133333,-0.000236034,,,
2.15,-0.000237465,,,
2.166667,-0.000238895,,,
2.183333,-0.000239611,,,
2.2,-0.000239611,,,
2.216667,-0.000238657,,,
2.233333,-0.000237465,,,
2.25,-0.000235319,,,
2.266667,-0.000233889,,,
2.283333,-0.000234127,,,
2.3,-0.000236034,,,
2.316667,-0.000238895,,,
2.333333,-0.000240564,,,
2.35,-0.000241995,,,
2.366667,-0.000243187,,,
2.383333,-0.000244856,,,
2.4,-0.000246525,,,
2.416667,-0.000247955,,,
2.433333,-0.000249147,,,
2.45,-0.00025034,,,
2.466667,-0.000252247,,,
2.483333,-0.000254631,,,
2.5,-0.0002563,,,
2.516667,-0.000256777,,,
2.533333,-0.000257015,,,
2.55,-0.000257492,,,
2.566667,-0.000258207,,,
2.583333,-0.000258684,,,
2.6,-0.000259638,,,
2.616667,-0.000260353,,,
2.633333,-0.00026083,,,
2.65,-0.00026083,,,
2.666667,-0.000261307,,,
2.683333,-0.00026226,,,
2.7,-0.000263691,,,
2.716667,-0.000265122,,,
2.733333,-0.000266314,,,
2.75,-0.000267506,,,
2.766667,-0.000268698,,,
2.783333,-0.000269413,,,
2.8,-0.000270128,,,
2.816667,-0.000270605,,,
2.833333,-0.000270605,,,
2.85,-0.000271797,,,
2.866667,-0.000272751,,,
2.883333,-0.000273228,,,
2.9,-0.000273228,,,
2.916667,-0.000272512,,,
2.933333,-0.000272036,,,
2.95,-0.000272036,,,
2.966667,-0.000272989,,,
2.983333,-0.000274181,,,
3,-0.000275612,,,
3.016667,-0.000276566,,,
3.033333,-0.000277281,,,
3.05,-0.000277519,,,
3.066667,-0.000277519,,,
3.083333,-0.000277758,,,
3.1,-0.000277758,,,
3.116667,-0.000278235,,,
3.133333,-0.000278235,,,
3.15,-0.000277519,,,
3.166667,-0.000276089,,,
3.183333,-0.000275135,,,
3.2,-0.000274897,,,
3.216667,-0.000275374,,,
3.233333,-0.000276089,,,
3.25,-0.000277042,,,
3.266667,-0.000277042,,,
3.283333,-0.000276566,,,
3.3,-0.000276089,,,
3.316667,-0.00027585,,,
3.333333,-0.000276804,,,
3.35,-0.000277996,,,
3.366667,-0.000279188,,,
3.383333,-0.000280142,,,
3.4,-0.000281334,,,
3.416667,-0.000282764,,,
3.433333,-0.000284672,,,
3.45,-0.000286818,,,
3.466667,-0.00028801,,,
3.483333,-0.000288248,,,
3.5,-0.000287294,,,
3.516667,-0.000284433,,,
3.533333,-0.000279427,,,
3.55,-0.000271797,,,
3.566667,-0.00026226,,,
3.583333,-0.000252724,,,
3.6,-0.000242472,,,
3.616667,-0.00023222,,,
3.633333,-0.000221252,,,
3.65,-0.000210047,,,
3.666667,-0.000197887,,,
3.683333,-0.000185013,,,
3.7,-0.000171423,,,
3.716667,-0.000157595,,,
3.733333,-0.000143528,,,
3.75,-0.000129223,,,
3.766667,-0.000113964,,,
3.783333,-9.78E-05,,,
3.8,-7.96E-05,,,
3.816667,-4.86E-05,,,
3.833333,1.48E-05,,,
3.85,0.000135183,,,
3.866667,0.000297308,,,
3.883333,0.000417709,,,
3.9,0.000427485,,,
3.916667,0.00033617,,,
3.933333,0.000226498,,,
3.95,0.000160217,,,
3.966667,0.00014019,,,
3.983333,0.000149965,,,
4,0.000169754,,,
4.016667,0.000192404,,,
4.033333,0.000216246,,,
4.05,0.000240803,,,
4.066667,0.000266314,,,
4.083333,0.000291824,,,
4.1,0.00031662,,,
4.116667,0.000340223,,,
4.133333,0.000363827,,,
4.15,0.000388622,,,
4.166667,0.000415564,,,
4.183333,0.000446081,,,
4.2,0.00048089,,,
4.216667,0.000519276,,,
4.233333,0.0005579,,,
4.25,0.000593662,,,
4.266667,0.000625134,,,
4.283333,0.000650644,,,
4.3,0.000667572,,,
4.316667,0.000674963,,,
4.333333,0.000677347,,,
4.35,0.000679255,,,
4.366667,0.00068593,,,
4.383333,0.000697613,,,
4.4,0.000714064,,,
4.416667,0.000733614,,,
4.433333,0.000758648,,,
4.45,0.000789166,,,
4.466667,0.000826836,,,
4.483333,0.000850201,,,
4.5,0.000833988,,,
4.516667,0.000774622,,,
4.533333,0.000696659,,,
4.55,0.000633955,,,
4.566667,0.00059247,,,
4.583333,0.00056839,,,
4.6,0.000555039,,,
4.616667,0.000550509,,,
4.633333,0.000552654,,,
4.65,0.000557423,,,
4.666667,0.000560522,,,
4.683333,0.000560761,,,
4.7,0.00055337,,,
4.716667,0.000534773,,,
4.733333,0.000504494,,,
4.75,0.000467777,,,
4.766667,0.000434399,,,
4.783333,0.000407219,,,
4.8,0.000389576,,,
4.816667,0.000380039,,,
4.833333,0.000379086,,,
4.85,0.000384808,,,
4.866667,0.000389576,,,
4.883333,0.000387907,,,
4.9,0.000385284,,,
4.916667,0.000390053,,,
4.933333,0.000403166,,,
4.95,0.000416517,,,
4.966667,0.000426769,,,
4.983333,0.000436783,,,
5,0.000445128,,,
5.016667,0.000444174,,,
5.033333,0.000430584,,,
5.05,0.000415564,,,
5.066667,0.000411749,,,
5.083333,0.000430584,,,
5.1,0.000479221,,,
5.116667,0.00056982,,,
5.133333,0.000701189,,,
5.15,0.000882626,,,
5.166667,0.001218557,,,
5.183333,0.004003286,,,
5.2,0.01011395,,,
5.216667,0.02278876,,,
5.233333,0.03418756,,,
5.25,0.03629279,,,
5.266667,0.02779579,,,
5.283333,0.01520777,,,
5.3,0.007819176,,,
5.316667,0.00393796,,,
5.333333,0.002869368,,,
5.35,0.002296209,,,
5.366667,0.00186038,,,
5.383333,0.001540422,,,
5.4,0.001291513,,,
5.416667,0.001096964,,,
5.433333,0.000930786,,,
5.45,0.000781775,,,
5.466667,0.000643015,,,
5.483333,0.000514507,,,
5.5,0.000398159,,,
5.516667,0.000295639,,,
5.533333,0.000203848,,,
5.55,0.000121355,,,
5.566667,5.05E-05,,,
5.583333,-2.86E-06,,,
5.6,-3.27E-05,,,
5.616667,-2.79E-05,,,
5.633333,1.76E-05,,,
5.65,0.000116825,,,
5.666667,0.000254393,,,
5.683333,0.000397682,,,
5.7,0.000529528,,,
5.716667,0.000643969,,,
5.733333,0.000751972,,,
5.75,0.000856876,,,
5.766667,0.00097394,,,
5.783333,0.001120329,,,
5.8,0.001292467,,,
5.816667,0.00147295,,,
5.833333,0.001633883,,,
5.85,0.001755953,,,
5.866667,0.001839161,,,
5.883333,0.001896858,,,
5.9,0.001942158,,,
5.916667,0.001980782,,,
5.933333,0.002012968,,,
5.95,0.002036572,,,
5.966667,0.0020504,,,
5.983333,0.002054691,,,
6,0.002050161,,,
6.016667,0.002037764,,,
6.033333,0.002017975,,,
6.05,0.001992226,,,
6.066667,0.001960754,,,
6.083333,0.001924992,,,
6.1,0.00188446,,,
6.116667,0.001840353,,,
6.133333,0.001793385,,,
6.15,0.001743793,,,
6.166667,0.001692533,,,
6.183333,0.001638174,,,
6.2,0.00158143,,,
6.216667,0.001522779,,,
6.233333,0.001462698,,,
6.25,0.00140214,,,
6.266667,0.001340866,,,
6.283333,0.001280546,,,
6.3,0.001222372,,,
6.316667,0.001169682,,,
6.333333,0.001124859,,,
6.35,0.00109005,,,
6.366667,0.001065254,,,
6.383333,0.001049995,,,
6.4,0.001041174,,,
6.416667,0.001033783,,,
6.433333,0.001023531,,,
6.45,0.001004934,,,
6.466667,0.000976324,,,
6.483333,0.000938177,,,
6.5,0.000894785,,,
6.516667,0.000849485,,,
6.533333,0.000805855,,,
6.55,0.000765562,,,
6.566667,0.000727654,,,
6.583333,0.000692368,,,
6.6,0.000658035,,,
6.616667,0.00062561,,,
6.633333,0.000595808,,,
6.65,0.000568152,,,
6.666667,0.000541925,,,
6.683333,0.00051713,,,
6.7,0.000494957,,,
6.716667,0.000476122,,,
6.733333,0.000460386,,,
6.75,0.000445843,,,
6.766667,0.000431538,,,
6.783333,0.000416756,,,
6.8,0.000402451,,,
6.816667,0.000388384,,,
6.833333,0.000375271,,,
6.85,0.000362873,,,
6.866667,0.000350952,,,
6.883333,0.000339031,,,
6.9,0.000327349,,,
6.916667,0.000316143,,,
6.933333,0.000306368,,,
6.95,0.000297546,,,
6.966667,0.000289202,,,
6.983333,0.000280619,,,
7,0.00027132,,,
